Command: 'C:\Users\Hu\Desktop\CED_schedule_Final_Branch2_åˆ†å—+HIHH_CLEAN\build\Release\CED_Schedule.exe' --solver GA --seed 10 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\CED_schedule_Final_Branch2_åˆ†å—+HIHH_CLEAN\data' --data_file data_matrix_T50_E50_D150.txt --cnum 50 --enum 50 --dnum 150 --tnum 50 --mopt 5
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final_Branch2_·Ö¿é+HIHH_CLEAN\\data"
Data file: data_matrix_T50_E50_D150.txt
Generations: 10000
Population size: 40
Random seed: 10
Pini (heuristic prob): 0.4
Solver: GA
Cnum/Enum/Dnum/Tnum/Mopt: 50/50/150/50/5
Migration: disabled
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final_Branch2_·Ö¿é+HIHH_CLEAN\\data\\data_matrix_T50_E50_D150.txt"
Gen 7800: best_fit = 991.351
Gen 7850: best_fit = 991.351
Gen 7900: best_fit = 991.278
Gen 7950: best_fit = 991.277
Gen 8000: best_fit = 991.277
Gen 8050: best_fit = 990.859
Gen 8100: best_fit = 990.766
Gen 8150: best_fit = 990.766
Gen 8200: best_fit = 990.766
Gen 8250: best_fit = 990.766
Gen 8300: best_fit = 990.761
Gen 8350: best_fit = 990.761
Gen 8400: best_fit = 990.621
Gen 8450: best_fit = 990.562
Gen 8500: best_fit = 990.348
Gen 8550: best_fit = 984.508
Gen 8600: best_fit = 984.507
Gen 8650: best_fit = 984.507
Gen 8700: best_fit = 984.507
Gen 8750: best_fit = 984.286
Gen 8800: best_fit = 979.17
Gen 8850: best_fit = 979.17
Gen 8900: best_fit = 979.045
Gen 8950: best_fit = 979.045
Gen 9000: best_fit = 979.036
Gen 9050: best_fit = 978.934
Gen 9100: best_fit = 977.23
Gen 9150: best_fit = 977.219
Gen 9200: best_fit = 976.905
Gen 9250: best_fit = 976.772
Gen 9300: best_fit = 976.612
Gen 9350: best_fit = 976.551
Gen 9400: best_fit = 976.55
Gen 9450: best_fit = 976.55
Gen 9500: best_fit = 976.414
Gen 9550: best_fit = 976.007
Gen 9600: best_fit = 975.934
Gen 9650: best_fit = 975.83
Gen 9700: best_fit = 975.778
Gen 9750: best_fit = 975.583
Gen 9800: best_fit = 975.416
Gen 9850: best_fit = 975.416
Gen 9900: best_fit = 975.416
Gen 9950: best_fit = 975.272
Gen 10000: best_fit = 975.272

=== Final Results ===
Solver: GA
Generation = 10000
The best solution = 975.272
Time = 14.907 s

exit code 0
