Command: 'C:\Users\Hu\Desktop\CED_schedule_Final_Branch2_åˆ†å—+HIHH_CLEAN\build\Release\CED_Schedule.exe' --solver GDE --seed 9 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\CED_schedule_Final_Branch2_åˆ†å—+HIHH_CLEAN\data' --data_file data_matrix_T50_E50_D150.txt --cnum 50 --enum 50 --dnum 150 --tnum 50 --mopt 5
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final_Branch2_·Ö¿é+HIHH_CLEAN\\data"
Data file: data_matrix_T50_E50_D150.txt
Generations: 10000
Population size: 40
Random seed: 9
Pini (heuristic prob): 0.4
Solver: GDE
Cnum/Enum/Dnum/Tnum/Mopt: 50/50/150/50/5
Migration: disabled
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final_Branch2_·Ö¿é+HIHH_CLEAN\\data\\data_matrix_T50_E50_D150.txt"
Gen 50: best_fit = 1028.19
Gen 100: best_fit = 1004.59
Gen 150: best_fit = 984.052
Gen 200: best_fit = 980.348
Gen 250: best_fit = 978.291
Gen 300: best_fit = 971.052
Gen 350: best_fit = 970.066
Gen 400: best_fit = 969.494
Gen 450: best_fit = 968.745
Gen 500: best_fit = 968.414
Gen 550: best_fit = 968.265
Gen 600: best_fit = 958.271
Gen 650: best_fit = 958.176
Gen 700: best_fit = 957.976
Gen 750: best_fit = 957.961
Gen 800: best_fit = 957.679
Gen 850: best_fit = 957.656
Gen 900: best_fit = 957.631
Gen 950: best_fit = 957.617
Gen 1000: best_fit = 957.586
Gen 1050: best_fit = 957.338
Gen 1100: best_fit = 957.309
Gen 1150: best_fit = 957.294
Gen 1200: best_fit = 957.279
Gen 1250: best_fit = 957.261
Gen 1300: best_fit = 957.247
Gen 1350: best_fit = 957.247
Gen 1400: best_fit = 957.198
Gen 1450: best_fit = 957.194
Gen 1500: best_fit = 957.179
Gen 1550: best_fit = 957.092
Gen 1600: best_fit = 957.086
Gen 1650: best_fit = 957.056
Gen 1700: best_fit = 957.045
Gen 1750: best_fit = 957.045
Gen 1800: best_fit = 957.043
Gen 1850: best_fit = 957.04
Gen 1900: best_fit = 957.04
Gen 1950: best_fit = 957.036
Gen 2000: best_fit = 956.928
Gen 2050: best_fit = 956.926
Gen 2100: best_fit = 956.925
Gen 2150: best_fit = 956.924
Gen 2200: best_fit = 956.921
Gen 2250: best_fit = 956.921
Gen 2300: best_fit = 956.901
Gen 2350: best_fit = 956.901
Gen 2400: best_fit = 956.901
Gen 2450: best_fit = 956.901
Gen 2500: best_fit = 956.892
Gen 2550: best_fit = 956.892
Gen 2600: best_fit = 956.874
Gen 2650: best_fit = 956.874
Gen 2700: best_fit = 956.873
Gen 2750: best_fit = 956.853
Gen 2800: best_fit = 956.853
Gen 2850: best_fit = 956.853
Gen 2900: best_fit = 956.85
Gen 2950: best_fit = 956.85
Gen 3000: best_fit = 956.85
Gen 3050: best_fit = 956.85
Gen 3100: best_fit = 956.85
Gen 3150: best_fit = 956.846
Gen 3200: best_fit = 956.846
Gen 3250: best_fit = 956.846
Gen 3300: best_fit = 956.846
Gen 3350: best_fit = 956.846
Gen 3400: best_fit = 956.846
Gen 3450: best_fit = 956.846
Gen 3500: best_fit = 956.846
Gen 3550: best_fit = 956.846
Gen 3600: best_fit = 956.846
Gen 3650: best_fit = 956.846
Gen 3700: best_fit = 956.846
Gen 3750: best_fit = 956.846
Gen 3800: best_fit = 956.846
Gen 3850: best_fit = 956.846
Gen 3900: best_fit = 956.846
Gen 3950: best_fit = 956.846
Gen 4000: best_fit = 956.846
Gen 4050: best_fit = 956.846
Gen 4100: best_fit = 956.846
Gen 4150: best_fit = 956.846
Gen 4200: best_fit = 956.846
Gen 4250: best_fit = 956.659
Gen 4300: best_fit = 956.656
Gen 4350: best_fit = 956.654
Gen 4400: best_fit = 956.654
Gen 4450: best_fit = 956.654
Gen 4500: best_fit = 956.654
Gen 4550: best_fit = 956.654
Gen 4600: best_fit = 956.654
Gen 4650: best_fit = 956.654
Gen 4700: best_fit = 956.654
