gen,migration_true mean,migration_true var,migration_false mean,migration_false var
50,0.07382252,2.461394113600003e-06,0.0759667,1.3505572920000022e-06
100,0.06699785,4.6889317705000035e-06,0.07246178,1.8603869876000008e-06
150,0.06294854,5.634959544400004e-06,0.06951414,3.2873981844000027e-06
200,0.05992538000000001,4.439338629600005e-06,0.06790259000000001,4.446563988899997e-06
250,0.05732275,5.1131178805000026e-06,0.06636438,5.266872355599993e-06
300,0.05531967,3.668798712100005e-06,0.06515926,4.693879570400003e-06
350,0.05371009,3.4082482289e-06,0.06390059000000001,3.5223564848999963e-06
400,0.052292399999999996,3.377941024000002e-06,0.06301662,3.6052897596000003e-06
450,0.05126693,2.816177216100001e-06,0.06226448,4.054708103600006e-06
500,0.05047984,2.468153602399998e-06,0.06147375000000001,3.499820358500002e-06
550,0.04974381,2.3708023028999987e-06,0.06059508,3.1433083055999975e-06
600,0.04900595,2.0988347624999974e-06,0.060046489999999994,3.6937447468999964e-06
650,0.04847997,2.0588595360999987e-06,0.059279210000000006,4.155581966900002e-06
700,0.048013230000000004,2.0241728721000006e-06,0.05875104,4.2830193864e-06
750,0.04746081,1.9788544908999993e-06,0.05831086,4.736077932400003e-06
800,0.047036299999999996,1.9901399819999994e-06,0.05786734,3.9076508084e-06
850,0.04668785,1.9606505144999997e-06,0.0575167,4.119275881999998e-06
900,0.04629883,1.7509124501000002e-06,0.0572497,4.177323664000003e-06
950,0.045978019999999994,1.674562083600002e-06,0.05678834000000001,4.925331216399999e-06
1000,0.04562256,1.6852504263999985e-06,0.05660454,5.0787966423999985e-06
1050,0.04533001,1.6595880789000004e-06,0.05636553,4.944375164099995e-06
1100,0.04506657,1.7093785781000015e-06,0.05603693,4.644181400099997e-06
1150,0.04481198,1.6993017255999956e-06,0.05579784,4.890144836399999e-06
1200,0.04457671,1.713151800899998e-06,0.05550551,5.173465122900001e-06
1250,0.04431561,1.8057977309000006e-06,0.05528273,4.7924745321e-06
1300,0.04412695,1.8038821185000003e-06,0.055077140000000004,4.597449406400001e-06
1350,0.04390264,1.755418716399999e-06,0.05490098,4.908257261599999e-06
1400,0.04369948,1.7236282335999989e-06,0.05460587,5.1217510861000046e-06
1450,0.04352571,1.8043481129000003e-06,0.0543755,4.731867720000003e-06
1500,0.043349280000000004,1.8040803455999991e-06,0.053988709999999995,4.835133174900002e-06
1550,0.043230950000000004,1.7372123084999983e-06,0.053852580000000004,4.728135491600001e-06
1600,0.04310656,1.752389814400002e-06,0.05367967,4.969917414100003e-06
1650,0.04296609,1.7300457388999992e-06,0.05355602,5.071404059600005e-06
1700,0.04282128,1.7449984995999996e-06,0.053338359999999994,5.418920622400002e-06
1750,0.04271727,1.740699980099999e-06,0.05320709,5.639890398899996e-06
1800,0.042643310000000004,1.7265984548999977e-06,0.05312493,5.932324286099995e-06
1850,0.0425663,1.7389218440000009e-06,0.05296526,6.168065872399998e-06
1900,0.042464550000000004,1.736743266500003e-06,0.05282444000000001,6.430554602399997e-06
