time_seconds,generation,best_fitness,best_f1,best_f2
0.0000000000,0,0.0798364912,1596.1263725323,531.1832087491
0.0036519000,1,0.0798364912,1596.1263725323,531.1832087491
0.0068469000,2,0.0798364912,1596.1263725323,531.1832087491
0.0101189000,3,0.0798364912,1596.1263725323,531.1832087491
0.0131519000,4,0.0798364912,1596.1263725323,531.1832087491
0.0160843000,5,0.0798364912,1596.1263725323,531.1832087491
0.0190623000,6,0.0798364912,1596.1263725323,531.1832087491
0.0220010000,7,0.0798364912,1596.1263725323,531.1832087491
0.0249807000,8,0.0798364912,1596.1263725323,531.1832087491
0.0283036000,9,0.0798364912,1596.1263725323,531.1832087491
0.0312935000,10,0.0798364912,1596.1263725323,531.1832087491
0.0343758000,11,0.0798364912,1596.1263725323,531.1832087491
0.0372847000,12,0.0798364912,1596.1263725323,531.1832087491
0.0400345000,13,0.0798364912,1596.1263725323,531.1832087491
0.0427534000,14,0.0798364912,1596.1263725323,531.1832087491
0.0453922000,15,0.0798364912,1596.1263725323,531.1832087491
0.0480894000,16,0.0798364912,1596.1263725323,531.1832087491
0.0509553000,17,0.0798364912,1596.1263725323,531.1832087491
0.0536586000,18,0.0798364912,1596.1263725323,531.1832087491
0.0564321000,19,0.0798364912,1596.1263725323,531.1832087491
0.0594638000,20,0.0798364912,1596.1263725323,531.1832087491
0.0624027000,21,0.0798364912,1596.1263725323,531.1832087491
0.0652854000,22,0.0798364912,1596.1263725323,531.1832087491
0.0681149000,23,0.0798364912,1596.1263725323,531.1832087491
0.0711320000,24,0.0798364912,1596.1263725323,531.1832087491
0.0738669000,25,0.0798364912,1596.1263725323,531.1832087491
0.0766649000,26,0.0798364912,1596.1263725323,531.1832087491
0.0793390000,27,0.0798364912,1596.1263725323,531.1832087491
0.0821217000,28,0.0798364912,1596.1263725323,531.1832087491
0.0848816000,29,0.0798364912,1596.1263725323,531.1832087491
0.0875545000,30,0.0798364912,1596.1263725323,531.1832087491
0.0906003000,31,0.0798364912,1596.1263725323,531.1832087491
0.0938770000,32,0.0798364912,1596.1263725323,531.1832087491
0.0969784000,33,0.0798364912,1596.1263725323,531.1832087491
0.1003030000,34,0.0798364912,1596.1263725323,531.1832087491
0.1037219000,35,0.0798364912,1596.1263725323,531.1832087491
0.1075759000,36,0.0798364912,1596.1263725323,531.1832087491
0.1108771000,37,0.0798364912,1596.1263725323,531.1832087491
0.1138251000,38,0.0798364912,1596.1263725323,531.1832087491
0.1169447000,39,0.0798364912,1596.1263725323,531.1832087491
0.1198985000,40,0.0798364912,1596.1263725323,531.1832087491
0.1227642000,41,0.0798364912,1596.1263725323,531.1832087491
0.1264526000,42,0.0798364912,1596.1263725323,531.1832087491
0.1302124000,43,0.0798364912,1596.1263725323,531.1832087491
0.1336094000,44,0.0798364912,1596.1263725323,531.1832087491
0.1368298000,45,0.0798364912,1596.1263725323,531.1832087491
0.1398655000,46,0.0798364912,1596.1263725323,531.1832087491
0.1430854000,47,0.0798364912,1596.1263725323,531.1832087491
0.1466165000,48,0.0798364912,1596.1263725323,531.1832087491
0.1506907000,49,0.0798364912,1596.1263725323,531.1832087491
0.1539355000,50,0.0798364912,1596.1263725323,531.1832087491
0.1573564000,51,0.0798364912,1596.1263725323,531.1832087491
0.1615663000,52,0.0798364912,1596.1263725323,531.1832087491
0.1647709000,53,0.0798364912,1596.1263725323,531.1832087491
0.1675626000,54,0.0798364912,1596.1263725323,531.1832087491
0.1706715000,55,0.0798364912,1596.1263725323,531.1832087491
0.1736471000,56,0.0798364912,1596.1263725323,531.1832087491
0.1767817000,57,0.0798364912,1596.1263725323,531.1832087491
0.1798887000,58,0.0798364912,1596.1263725323,531.1832087491
0.1826149000,59,0.0798364912,1596.1263725323,531.1832087491
0.1854145000,60,0.0798364912,1596.1263725323,531.1832087491
0.1883859000,61,0.0798364912,1596.1263725323,531.1832087491
0.1917774000,62,0.0798364912,1596.1263725323,531.1832087491
0.1952839000,63,0.0798364912,1596.1263725323,531.1832087491
0.1982632000,64,0.0798364912,1596.1263725323,531.1832087491
1.2106090000,65,0.0798364912,1596.1263725323,531.1832087491
1.2136326000,66,0.0798364912,1596.1263725323,531.1832087491
1.2167898000,67,0.0798364912,1596.1263725323,531.1832087491
1.2205351000,68,0.0798364912,1596.1263725323,531.1832087491
1.2235612000,69,0.0798364912,1596.1263725323,531.1832087491
1.2268150000,70,0.0798364912,1596.1263725323,531.1832087491
1.2300939000,71,0.0798364912,1596.1263725323,531.1832087491
1.2330996000,72,0.0798364912,1596.1263725323,531.1832087491
1.2361711000,73,0.0798364912,1596.1263725323,531.1832087491
