Command: 'C:\Users\Hu\Desktop\CED_schedule_Final_Branch2_åˆ†å—+HIHH_CLEAN\build\Release\CED_Schedule.exe' --solver CCHIHH --stable --seed 3 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\CED_schedule_Final_Branch2_åˆ†å—+HIHH_CLEAN\data' --data_file data_matrix_100.txt
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final_Branch2_·Ö¿é+HIHH_CLEAN\\data"
Data file: data_matrix_100.txt
Generations: 10000
Population size: 40
Random seed: 3
Pini (heuristic prob): 0.4
Solver: CCHIHH
Migration: disabled
Stable mode: enabled
  resample_gate=15 reward_clip=0.2 eps0=0.2 eps_min=0.02 eps_k=0.01 lr0=0.05 lr_k=0.002
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final_Branch2_·Ö¿é+HIHH_CLEAN\\data\\data_matrix_100.txt"

=== Running CC-HIHH-UCB Solver ===
[CC-HIHH] Initializing solver...
  CE_Tnum=100, M_Jnum=100, M_OPTnum=5, ops=500
  Nvar=1200, popsize=40, nSubpop=8
  Block 0 (offload): start=0, len=200
  Block 1 (seq): start=200, len=500
  Block 2 (dev): start=700, len=500
[CC-HIHH] Initial evaluation...
[CC-HIHH] Initial gbest_fit = 55.8075
Gen 50: best_fit = 55.7299
Gen 100: best_fit = 55.684
Gen 150: best_fit = 55.6507
Gen 200: best_fit = 55.6252
Gen 250: best_fit = 55.6058
Gen 300: best_fit = 55.5879
Gen 350: best_fit = 55.5765
Gen 400: best_fit = 55.5586
Gen 450: best_fit = 55.5506
Gen 500: best_fit = 55.5349
Gen 550: best_fit = 55.5241
Gen 600: best_fit = 55.5164
Gen 650: best_fit = 55.5029
Gen 700: best_fit = 55.4949
Gen 750: best_fit = 55.4776
Gen 800: best_fit = 55.4705
Gen 850: best_fit = 55.4619
Gen 900: best_fit = 55.4518
Gen 950: best_fit = 55.4379
Gen 1000: best_fit = 55.4253
Gen 1050: best_fit = 55.4176
Gen 1100: best_fit = 55.4092
Gen 1150: best_fit = 55.4049
Gen 1200: best_fit = 55.4006
Gen 1250: best_fit = 55.3929
Gen 1300: best_fit = 55.3864
Gen 1350: best_fit = 55.3824
