gen,use_blocks_true mean,use_blocks_true var,use_blocks_false mean,use_blocks_false var
50,0.054951530000000005,1.4698069180999992e-06,0.05724885,8.313670685000008e-07
100,0.05077222,1.2715007896000007e-06,0.0554995,1.0966826020000017e-06
150,0.0483989,1.9073182440000005e-06,0.054582189999999996,1.574435506899999e-06
200,0.04633273,2.261669518099999e-06,0.05396458,2.116526611600003e-06
250,0.04471117,2.5283377561000013e-06,0.05337562999999999,2.1888899121000026e-06
300,0.04326386,2.443367184400003e-06,0.05296573,2.157222936100001e-06
350,0.04205097,2.225077708100003e-06,0.05270891,2.483368884899998e-06
400,0.04103797,2.3414476880999972e-06,0.0524328,2.410733272000002e-06
450,0.04016045,2.1315906804999977e-06,0.05207237,2.207086476099999e-06
500,0.03921657,1.542356182099999e-06,0.05173361,1.9760050708999973e-06
550,0.03856933,1.195912202100001e-06,0.0514469,1.9425186679999983e-06
600,0.03796998,9.875438316000008e-07,0.051210849999999995,1.9596527705000006e-06
650,0.037428420000000004,8.103502955999986e-07,0.05103727,2.123237628099997e-06
700,0.03693554,7.216993223999983e-07,0.050847039999999996,2.410428428399999e-06
750,0.03653255,6.615466864999995e-07,0.05060116,2.5235114183999996e-06
800,0.03615397,6.362981500999995e-07,0.05039078,2.6505897375999988e-06
850,0.03575997,5.098753020999996e-07,0.05016465,2.7086348024999985e-06
900,0.03540414,4.392320924000003e-07,0.04988515,3.1220919964999975e-06
950,0.03507674,4.1651214039999934e-07,0.04961425,2.8711517945000023e-06
1000,0.03478786,3.747360184000004e-07,0.04943068,2.788457855599998e-06
1050,0.03450981,3.1886206690000047e-07,0.04923561,3.071171812899997e-06
1100,0.03425203,2.850116500999993e-07,0.048990240000000004,3.174845432399997e-06
1150,0.03399585,2.762482765000003e-07,0.048799340000000004,3.5846212384000025e-06
1200,0.03377299,2.598189608999997e-07,0.04854388,3.941884321599998e-06
1250,0.033553,2.7736335799999994e-07,0.04837801,4.340104488900002e-06
1300,0.03327581,2.3312343690000105e-07,0.04823255,4.445601494499999e-06
1350,0.03306672,2.3696172959999952e-07,0.048071180000000005,4.422880971600003e-06
1400,0.03285421,2.377137108999993e-07,0.04795676,4.6804151963999975e-06
1450,0.0326461,1.9632709000000028e-07,0.04783685,4.8872307905000015e-06
1500,0.03247861,1.8744605089999942e-07,0.047658400000000004,5.090248470000001e-06
1550,0.03230677,1.8705507209999886e-07,0.047559040000000004,5.248858250399998e-06
1600,0.03212843,1.642291521000001e-07,0.047345160000000004,5.675160950399998e-06
1650,0.03196311,1.6777215289999966e-07,0.04724622,5.9776013875999985e-06
1700,0.0318148,1.745586639999995e-07,0.04715666,6.028208520399998e-06
1750,0.03164106,1.762573664000005e-07,0.047033370000000005,6.198575130100004e-06
1800,0.03148089,1.7366225489999956e-07,0.046937610000000005,6.378584240900002e-06
1850,0.03133661,1.7052754490000053e-07,0.04676409,6.9805504088999965e-06
1900,0.031193969999999998,1.7084645009999987e-07,0.046615000000000004,7.081129808000001e-06
1950,0.031075399999999996,1.6156936199999944e-07,0.04647338,7.259097951600003e-06
2000,0.03097783,1.455678621000002e-07,0.04632694,7.013074742400004e-06
2050,0.030868529999999998,1.3485535009999944e-07,0.046205800000000005,7.112095740000003e-06
2100,0.03076016,1.4453575439999987e-07,0.046124609999999996,7.198681656900003e-06
2150,0.03066043,1.515455880999998e-07,0.046020080000000005,7.449845951600004e-06
2200,0.03052786,1.635575403999997e-07,0.04593979,7.593833378900006e-06
2250,0.030408599999999997,1.5597964200000005e-07,0.04584703,7.842507038100002e-06
2300,0.03031036,1.5302438239999992e-07,0.045708280000000004,8.049993835599995e-06
2350,0.030215749999999996,1.6325743849999978e-07,0.04553573,8.337652072099999e-06
2400,0.030118689999999997,1.6406967890000036e-07,0.04534594,8.907848608400004e-06
2450,0.03002374,1.7918035040000018e-07,0.045154110000000004,9.052634352899998e-06
2500,0.029923490000000004,1.8461821490000006e-07,0.04505204,9.1587463984e-06
2550,0.029834640000000003,1.9580321440000028e-07,0.04498245,9.313959174500004e-06
2600,0.029764230000000003,2.062535300999999e-07,0.04487293,9.614563222100011e-06
2650,0.02968364,2.0727431839999992e-07,0.044757160000000004,9.815554026400007e-06
2700,0.02958848,2.0963777760000002e-07,0.04466166,1.0022581686400006e-05
2750,0.02950098,2.1974239960000066e-07,0.0445302,1.0218454656e-05
2800,0.029422379999999998,2.2683457559999973e-07,0.04442374,1.0058515614399998e-05
2850,0.02932476,2.5183042639999925e-07,0.04432784,1.02261530684e-05
2900,0.029249340000000002,2.655593184e-07,0.04419891,1.0146163782899992e-05
2950,0.029162630000000002,2.6860218409999964e-07,0.04411722,1.0308907461599998e-05
3000,0.029069119999999997,2.7689013760000035e-07,0.044032,1.0527175202000005e-05
3050,0.02899008,2.7238804959999985e-07,0.04393215,1.0748444130499999e-05
3100,0.02891745,2.907702904999997e-07,0.04380846,1.1122859634400006e-05
3150,0.028847489999999996,2.972488709000003e-07,0.04372578,1.1329548627599997e-05
3200,0.028782429999999998,3.0149851409999987e-07,0.04364216,1.1304406868399993e-05
3250,0.028714339999999998,3.0240280240000036e-07,0.04351812,1.1596651989599996e-05
3300,0.028671629999999997,3.1803974610000006e-07,0.04340894,1.1991073294399998e-05
3350,0.028644350000000002,3.3188125249999997e-07,0.043309890000000004,1.2149511830899996e-05
3400,0.02858599,3.306390728999997e-07,0.04323772,1.2438559931599996e-05
3450,0.02853102,3.317302176e-07,0.043132949999999996,1.2886762410499997e-05
3500,0.02849565,3.2996918650000016e-07,0.04304181,1.3147132896899992e-05
3550,0.02843834,3.3883161039999965e-07,0.04295029,1.3356542502899993e-05
3600,0.02841163,3.349486481e-07,0.04286213,1.356670522009999e-05
3650,0.028384029999999998,3.402885581000005e-07,0.042766320000000003,1.3745928297599991e-05
3700,0.028330070000000002,3.5189595009999986e-07,0.04270928,1.3980865251599995e-05
3750,0.02828144,3.549899804e-07,0.04265694,1.4144954206399998e-05
3800,0.02823853,3.6664979410000014e-07,0.04255431,1.4476393398900009e-05
3850,0.028189380000000003,3.8506842159999953e-07,0.04247339,1.4740818808900002e-05
3900,0.02815432,3.937026556e-07,0.04237622,1.4756333929599996e-05
3950,0.02810502,4.23977017600001e-07,0.042318669999999996,1.4973265252099996e-05
4000,0.0280657,4.3639291600000116e-07,0.04224697,1.5194920198099995e-05
4050,0.028032099999999997,4.415078999999996e-07,0.04214212,1.5515203657599993e-05
4100,0.0279825,4.5837379599999995e-07,0.04208373,1.5739630794099995e-05
4150,0.027944010000000002,4.739619989000004e-07,0.04198173,1.60116411101e-05
4200,0.02791495,4.7449144649999986e-07,0.04191681,1.6198385382899993e-05
4250,0.02788727,4.523568361000006e-07,0.04186664,1.642468460039999e-05
4300,0.0278415,4.572852900000005e-07,0.04176403,1.68214787161e-05
4350,0.02780377,4.7411664810000026e-07,0.04169088,1.7019691103599998e-05
4400,0.02777648,4.773608575999995e-07,0.04163525,1.71314835345e-05
4450,0.02775631,4.799520469e-07,0.041575879999999996,1.7183055265600006e-05
4500,0.027741710000000003,4.881028788999999e-07,0.04153019,1.73179316669e-05
4550,0.02772213,4.991826041000004e-07,0.041473460000000004,1.7531072802399995e-05
4600,0.02770034,5.149181643999998e-07,0.04141152,1.7810907481599998e-05
4650,0.02767772,5.305913235999995e-07,0.04136555,1.79428457605e-05
4700,0.02764875,5.584364244999998e-07,0.041268769999999996,1.8021541022099997e-05
4750,0.027625860000000002,5.767191664000003e-07,0.04116029,1.7832411324899998e-05
4800,0.02759569,6.070775709000003e-07,0.04111327,1.7981563310099998e-05
4850,0.02757983,6.229243600999993e-07,0.041070010000000004,1.81411067689e-05
4900,0.027557530000000004,6.328364560999995e-07,0.04100629,1.8404332756900012e-05
4950,0.02752761,6.396923288999995e-07,0.04093673,1.8561002030100003e-05
5000,0.027491179999999997,6.379636655999995e-07,0.04086529,1.8776995254899993e-05
5050,0.02746623,6.393436101000006e-07,0.040768280000000004,1.92767034036e-05
5100,0.027452880000000002,6.494154896000003e-07,0.04069007,1.94614383161e-05
5150,0.027426440000000003,6.688470844000013e-07,0.040641899999999995,1.9704379192000004e-05
5200,0.027415279999999997,6.585844136000002e-07,0.04059959,1.9845750690900003e-05
5250,0.02740757,6.560727780999996e-07,0.04055173,2.0001190842099997e-05
5300,0.02739059,6.675450969000004e-07,0.040505360000000004,2.0111758488399995e-05
5350,0.02737229,6.630837769000002e-07,0.04045754,2.02179652444e-05
5400,0.0273502,6.737710459999999e-07,0.04040347,2.0357190004100007e-05
5450,0.02732777,6.852214200999992e-07,0.04033736,2.0505293356400005e-05
5500,0.02730978,6.982332196000005e-07,0.04025153,2.0504039262100006e-05
5550,0.027296090000000002,6.933174189000002e-07,0.04019984,2.0630362752400005e-05
5600,0.027273730000000003,7.020332820999996e-07,0.040152969999999996,2.0756943500100004e-05
5650,0.027256930000000002,7.055620901000005e-07,0.0401129,2.0870143550000007e-05
5700,0.02723711,7.191018069000008e-07,0.040018,2.1148288174000004e-05
5750,0.0272137,7.349871200000007e-07,0.03994248,2.1493449563600006e-05
5800,0.02718178,7.387538596000001e-07,0.039891789999999996,2.16573351849e-05
5850,0.02716608,7.382384496000001e-07,0.039814909999999995,2.191060499890001e-05
5900,0.02714901,7.388335288999992e-07,0.03972121,2.1624978158899996e-05
5950,0.02713101,7.525407308999991e-07,0.039666059999999996,2.1825389214400003e-05
6000,0.02711865,7.584295125000001e-07,0.039625310000000004,2.20017639769e-05
6050,0.027111049999999998,7.618233304999998e-07,0.039571869999999995,2.2092784418099995e-05
6100,0.02708995,7.541784125000001e-07,0.039523550000000005,2.22791587465e-05
6150,0.02707616,7.50517508400001e-07,0.03948235,2.2406175452499997e-05
6200,0.02706215,7.588965965000007e-07,0.03942715,2.2517348216499995e-05
6250,0.027054089999999996,7.583291129000002e-07,0.039355760000000004,2.2704880992399995e-05
6300,0.02703766,7.764099403999994e-07,0.03931645,2.28435491045e-05
6350,0.027020489999999998,7.911066708999997e-07,0.03926017,2.28801473981e-05
6400,0.026999659999999998,8.007350084e-07,0.03920836,2.3009946888399994e-05
6450,0.026966570000000002,7.577491381000003e-07,0.03916839,2.3111535260899998e-05
6500,0.026947660000000002,7.646771224e-07,0.03912061,2.3180091108899998e-05
6550,0.026932679999999997,7.622817295999993e-07,0.03905259,2.3320144580899994e-05
6600,0.02691613,7.492054480999995e-07,0.038998359999999996,2.3501160210399994e-05
6650,0.026898830000000002,7.477874760999999e-07,0.0389455,2.3682497699999992e-05
6700,0.02688218,7.611244375999992e-07,0.03888951,2.3894580450899997e-05
6750,0.02686892,7.763747795999998e-07,0.03886453,2.4018981302099996e-05
6800,0.02684956,7.926178444000001e-07,0.0388356,2.4121107256e-05
6850,0.0268401,7.993581519999995e-07,0.03879088,2.42476217956e-05
6900,0.026820709999999998,8.094640548999998e-07,0.038754620000000004,2.43401058336e-05
6950,0.026806029999999998,8.240030280999998e-07,0.03869674,2.4566327086400003e-05
7000,0.02679198,8.235411435999997e-07,0.03862145,2.4095636710500003e-05
7050,0.02677662,8.161375055999999e-07,0.03857736,2.4228365530399998e-05
7100,0.02675214,8.243895823999999e-07,0.03853299,2.4279159734900006e-05
7150,0.0267277,8.397259199999998e-07,0.03849034,2.4425363156400003e-05
7200,0.02670524,8.225803004000003e-07,0.0384382,2.448707752e-05
7250,0.026689360000000002,8.208766863999998e-07,0.03840719,2.461487293890001e-05
7300,0.02667088,8.211935536000009e-07,0.03836413,2.470659553810001e-05
7350,0.026658349999999997,8.224934104999996e-07,0.03832879,2.4823797504900005e-05
7400,0.02664281,8.279180749000004e-07,0.0382878,2.5033686570000013e-05
7450,0.02662926,8.320048563999996e-07,0.03824585,2.52550034265e-05
7500,0.0266105,8.267085879999997e-07,0.03821157,2.5421641702100012e-05
7550,0.026598339999999998,8.208595043999994e-07,0.0381897,2.5529917584000005e-05
7600,0.02658763,8.135644321e-07,0.03815061,2.5638833046900007e-05
7650,0.02658085,8.08636892500001e-07,0.038107970000000005,2.579887937010001e-05
7700,0.02657288,8.079394976000002e-07,0.038074449999999996,2.5924723088500007e-05
7750,0.026562679999999998,8.055140915999994e-07,0.03804691,2.6013067424900014e-05
7800,0.026558019999999998,8.043334535999997e-07,0.03797854,2.607441271440001e-05
7850,0.02654683,8.095331101000009e-07,0.03793502,2.624003835360001e-05
7900,0.02653548,8.108738035999999e-07,0.03787977,2.6047466804100003e-05
7950,0.02652386,8.072130064000001e-07,0.03785211,2.6161695410899993e-05
8000,0.02650768,7.975783375999997e-07,0.037813,2.6195276009999994e-05
8050,0.02648871,7.919398428999997e-07,0.03777836,2.6232228506399995e-05
8100,0.026477030000000002,7.831478061000017e-07,0.03773302,2.6353475847600005e-05
8150,0.026465289999999995,7.690674628999997e-07,0.037692550000000005,2.6443576950500007e-05
8200,0.026450400000000002,7.565814980000006e-07,0.03766426,2.6495368758399995e-05
8250,0.026438,7.558359699999999e-07,0.03763159,2.64479164729e-05
8300,0.02642763,7.575164341000003e-07,0.03759878,2.6413513295599997e-05
8350,0.02641515,7.669259324999995e-07,0.03757848,2.6497942517600002e-05
8400,0.02641105,7.681168184999997e-07,0.03752421,2.6610079524899996e-05
