gen,op_id,w0,w1,w2,w3,w4,w5,w6,norm
50,0,-4.074471638763387e-05,-0.0001140318256271225,-0.0100110665447932,0.003230162762952862,-0.05419611429181164,0.0001525941125128654,0.006128073915152486,0.05554696614066758
50,1,-1.573923812035963e-05,-1.623035609681407e-05,-0.002051270116531647,0.0011948003841695,-0.01412190408493824,0.001405262825274995,0.003268797824249826,0.01475546495387992
50,2,-7.567645804141459e-06,7.19735915582575e-07,-0.0001593037201122914,0.0003004558916306667,-0.002250666600049169,0.0006005297144732351,0.001263524085185288,0.002671766906323512
50,3,1.012056550718351e-06,3.949590841927074e-06,-4.490620153428722e-24,1.713222058961383e-05,0,0.000188918524389476,0.0003782170353184008,0.0004231411953132774
100,0,-5.120182857885339e-05,-0.0001288602754981056,-0.01001070898838528,0.003220845227235391,-0.05412055530933423,-0.0006979529743264858,0.004426762648143453,0.05531478317695795
100,1,-1.837123846200357e-05,-1.763077525204735e-05,-0.002051555794322082,0.001192469266051455,-0.01410266950134945,0.001184686139371523,0.002827875151307499,0.01462590710550377
100,2,-9.762765071076967e-06,1.370374133964462e-07,-0.0001595230116143855,0.000300695293912153,-0.002300624963111998,0.0004427176504287352,0.0009483918705186165,0.002550349360448005
100,3,9.579856700853395e-07,3.863867094098696e-06,-8.642024259499693e-24,1.708788087490015e-05,0,0.000184549399015504,0.0003694787797432174,0.0004133774210522152
150,0,-5.172158197111379e-05,-0.0001291500661592655,-0.01001070211647399,0.003220808101076541,-0.05411809700466984,-0.0007175514550800946,0.004387561984063044,0.05530950298286819
150,1,-1.80476010331794e-05,-1.763619624509904e-05,-0.002051495066110547,0.001192510712757083,-0.01408647306425311,0.001202068394064623,0.002862583908536805,0.01461846192336898
150,2,-9.979880801802138e-06,1.221813674987357e-07,-0.0001595609711477358,0.0003006376430661876,-0.002303698537085764,0.0004339601416713219,0.0009309451716727262,0.002545181639074577
150,3,9.575757700403604e-07,3.863665195125977e-06,-8.642024259499693e-24,1.708779768984501e-05,0,0.0001845345474564118,0.0003694490768414074,0.0004133442358058175
200,0,-5.193051177073124e-05,-0.0001293027182544687,-0.01001070150956084,0.003220801542663517,-0.05411776469352056,-0.0007239728718170992,0.004374718371913907,0.05530824419774774
200,1,-1.802340803945191e-05,-1.764265030148125e-05,-0.002051492004184023,0.001192518253317166,-0.01408430122352315,0.001202800638524279,0.002864044839839531,0.0146167157224068
200,2,-1.002636338273716e-05,1.186138619782481e-07,-0.000159562584126851,0.0003006327398437461,-0.002304248929755997,0.0004325700002991561,0.0009281663829763273,0.002544427946411325
200,3,9.566263351761913e-07,3.862927626741489e-06,-8.651803726368689e-24,1.708778902323751e-05,0,0.0001845044755287202,0.0003693889329860243,0.0004132770441001761
250,0,-5.195792011461429e-05,-0.0001293118752752776,-0.01001070148568003,0.003220799479645879,-0.05411774812854554,-0.0007246117037912153,0.004373440680651247,0.05530813523093302
250,1,-1.803793824151136e-05,-1.764404318494659e-05,-0.002051492108453151,0.0011925175002288,-0.01408433400044529,0.001202462959484687,0.002863369633363286,0.01461658720772986
250,2,-1.00331935084524e-05,1.182608613801382e-07,-0.000159562710324974,0.0003006323386591586,-0.002304312376498737,0.0004324116185271097,0.0009278497550971881,0.002544342988845635
250,3,9.566173664786039e-07,3.862922121848436e-06,-8.651803726368689e-24,1.708778897339723e-05,0,0.0001845042788467556,0.000369388539622095,0.0004132766046281958
300,0,-5.196061939493993e-05,-0.0001293127342081481,-0.01001070148533644,0.003220799348403322,-0.05411774800376247,-0.0007246624267529683,0.004373339234315944,0.0553081277485532
300,1,-1.803964816099284e-05,-1.764417785253614e-05,-0.002051492113047072,0.001192517471944258,-0.01408433418891902,0.001202430589107664,0.002863304902879653,0.01461657204649347
300,2,-1.003394257937239e-05,1.182293437693468e-07,-0.000159562719965241,0.0003006323269659417,-0.002304317912576813,0.0004323975616236471,0.0009278216500043284,0.002544335366915831
300,3,9.56612769889162e-07,3.862920204574414e-06,-8.652139303473992e-24,1.708778844000951e-05,0,0.0001845041895307553,0.0003693883609900945,0.0004132764050410067
350,0,-5.196089586852009e-05,-0.0001293128206442382,-0.01001070148488622,0.003220799339976984,-0.05411774783624819,-0.0007246667931926758,0.004373330500235842,0.05530812695112154
350,1,-1.803975729273294e-05,-1.764418614109999e-05,-0.002051492112878619,0.001192517467803174,-0.01408433390217601,0.001202428888054184,0.002863301500833309,0.01461657096359651
350,2,-1.003403349475223e-05,1.182261996066895e-07,-0.0001595627211505099,0.0003006323245495433,-0.002304318484194607,0.0004323961195132552,0.000927818767277965,0.002544334588460189
350,3,9.566127159473131e-07,3.862920181308521e-06,-8.652141417759658e-24,1.708778843993554e-05,0,0.000184504188744431,0.0003693883594174458,0.0004132764032839719
400,0,-5.196090658922355e-05,-0.0001293128230391457,-0.01001070148483436,0.003220799339963059,-0.05411774779603003,-0.0007246669362040018,0.004373330214139538,0.055308126891026
400,1,-1.803975744281999e-05,-1.76441868954314e-05,-0.002051492112710984,0.001192517468100656,-0.01408433371343518,0.00120242888830089,0.002863301501161259,0.01461657078181473
400,2,-1.003404483791167e-05,1.182258616826983e-07,-0.0001595627212390464,0.0003006323243075595,-0.002304318546080084,0.0004323959643750301,0.0009278184570964743,0.002544334505053584
400,3,9.566127159473131e-07,3.862920181308521e-06,-8.652141417759658e-24,1.708778843993554e-05,0,0.000184504188744431,0.0003693883594174458,0.0004132764032839719
450,0,-5.19609083013258e-05,-0.0001293128232869267,-0.01001070148483367,0.003220799339911138,-0.05411774779564447,-0.0007246669567932061,0.004373330172960253,0.05530812688766142
450,1,-1.803975899441501e-05,-1.764418699899594e-05,-0.002051492112711157,0.001192517468014718,-0.01408433370885055,0.001202428869525452,0.002863301463610854,0.01461657076849163
450,2,-1.003404597875255e-05,1.182258311746007e-07,-0.0001595627212460573,0.0003006323242862827,-0.002304318551561877,0.0004323959506088191,0.0009278184295710214,0.002544334497643744
450,3,9.566127159473131e-07,3.862920181308521e-06,-8.652141417759658e-24,1.708778843993554e-05,0,0.000184504188744431,0.0003693883594174458,0.0004132764032839719
500,0,-5.196090840245617e-05,-0.0001293128233042548,-0.01001070148483362,0.003220799339909018,-0.0541177477955798,-0.0007246669578862279,0.00437333017077416,0.05530812688743961
