Command: 'build_codex\Release\CED_Schedule.exe' '--solver' 'CCHIHH' '--stable' '--resample_gate' '15' '--data_dir' 'data' '--data_file' 'data_matrix_T500_E200_D800.txt' '--generations' '10000' '--log_every' '50' '--nsubpop' '8' '--seed' '6' '--cnum' '200' '--enum' '200' '--dnum' '800' '--tnum' '500' '--mopt' '5' '--cchihh_op_stats' 'results\operator_ablation\T500\roundrobin\op_freq_roundrobin_T500_run5.csv' '--cchihh_op_stats_every' '50' '--cchihh_global_stats' 'results\operator_ablation\T500\roundrobin\global_stats_roundrobin_T500_run5.csv' '--cchihh_global_stats_every' '50' '--op_mode' 'roundrobin'
=== CED_Schedule Configuration ===
Data directory: "data"
Data file: data_matrix_T500_E200_D800.txt
Generations: 10000
Population size: 40
Random seed: 6
Pini (heuristic prob): 0.4
Objective alpha: 0.5
Solver: CCHIHH
Cnum/Enum/Dnum/Tnum/Mopt: 200/200/800/500/5
Migration: disabled
Stable mode: enabled
  resample_gate=15 reward_clip=0.2 eps0=0.2 eps_min=0.02 eps_k=0.01 lr0=0.05 lr_k=0.002
CCHIHH gate: enabled
CCHIHH blocks: enabled
CCHIHH migration: enabled
CCHIHH op mode: roundrobin
CCHIHH fixed ops: disabled
CCHIHH op stats: results\operator_ablation\T500\roundrobin\op_freq_roundrobin_T500_run5.csv
CCHIHH global stats: results\operator_ablation\T500\roundrobin\global_stats_roundrobin_T500_run5.csv
=================================
[Initial] Loading data from: "data\\data_matrix_T500_E200_D800.txt"
[Normalization] f1_ref (makespan) = 47380.7
[Normalization] f2_ref (energy) = 5813.54
[Normalization] alpha = 0.5

=== Running CC-HIHH-UCB Solver ===
[CC-HIHH] Initializing solver...
  CE_Tnum=500, M_Jnum=500, M_OPTnum=5, ops=2500
  Nvar=6000, popsize=40, nSubpop=8
  Block 0 (offload): start=0, len=1000
  Block 1 (seq): start=1000, len=2500
  Block 2 (dev): start=3500, len=2500
[CC-HIHH] Initial evaluation...
[CC-HIHH] Initial gbest_fit = 0.0657778
Gen 50: best_fit = 0.055326
Gen 100: best_fit = 0.0520641
Gen 150: best_fit = 0.0503851
Gen 200: best_fit = 0.0489063
Gen 250: best_fit = 0.0479784
Gen 300: best_fit = 0.046768
Gen 350: best_fit = 0.0449906
Gen 400: best_fit = 0.0439825
Gen 450: best_fit = 0.0428237
Gen 500: best_fit = 0.0422172
Gen 550: best_fit = 0.0414764
Gen 600: best_fit = 0.0407883
Gen 650: best_fit = 0.0401796
Gen 700: best_fit = 0.039784
Gen 750: best_fit = 0.0393639
Gen 800: best_fit = 0.038893
Gen 850: best_fit = 0.0384912
Gen 900: best_fit = 0.0381564
Gen 950: best_fit = 0.0378695
Gen 1000: best_fit = 0.0374228
Gen 1050: best_fit = 0.0371352
Gen 1100: best_fit = 0.0369475
Gen 1150: best_fit = 0.0366353
Gen 1200: best_fit = 0.0364703
Gen 1250: best_fit = 0.0362458
Gen 1300: best_fit = 0.0360035
Gen 1350: best_fit = 0.0358079
Gen 1400: best_fit = 0.0355897
Gen 1450: best_fit = 0.0353435
Gen 1500: best_fit = 0.034958
Gen 1550: best_fit = 0.0347784
Gen 1600: best_fit = 0.0345966
Gen 1650: best_fit = 0.034496
Gen 1700: best_fit = 0.0343842
Gen 1750: best_fit = 0.0341809
Gen 1800: best_fit = 0.0339927
Gen 1850: best_fit = 0.0338333
Gen 1900: best_fit = 0.033635
Gen 1950: best_fit = 0.0335116
Gen 2000: best_fit = 0.0333575
Gen 2050: best_fit = 0.0331442
Gen 2100: best_fit = 0.0330432
Gen 2150: best_fit = 0.0329136
Gen 2200: best_fit = 0.0328317
Gen 2250: best_fit = 0.032727
Gen 2300: best_fit = 0.0325239
Gen 2350: best_fit = 0.0323954
Gen 2400: best_fit = 0.0322847
Gen 2450: best_fit = 0.0321402
Gen 2500: best_fit = 0.0320434
Gen 2550: best_fit = 0.0319285
Gen 2600: best_fit = 0.0318425
Gen 2650: best_fit = 0.0317465
Gen 2700: best_fit = 0.0316668
Gen 2750: best_fit = 0.0315896
Gen 2800: best_fit = 0.031488
Gen 2850: best_fit = 0.0313456
Gen 2900: best_fit = 0.0312545
Gen 2950: best_fit = 0.031202
Gen 3000: best_fit = 0.031115
Gen 3050: best_fit = 0.0309917
Gen 3100: best_fit = 0.0309246
Gen 3150: best_fit = 0.0308518
Gen 3200: best_fit = 0.0307884
Gen 3250: best_fit = 0.0307366
Gen 3300: best_fit = 0.0306583
Gen 3350: best_fit = 0.0306252
Gen 3400: best_fit = 0.0305626
Gen 3450: best_fit = 0.0304592
Gen 3500: best_fit = 0.030392
Gen 3550: best_fit = 0.0303238
Gen 3600: best_fit = 0.0302239
Gen 3650: best_fit = 0.0301458
Gen 3700: best_fit = 0.0301248
Gen 3750: best_fit = 0.0300442
Gen 3800: best_fit = 0.0299865
Gen 3850: best_fit = 0.0299459
Gen 3900: best_fit = 0.0298918
Gen 3950: best_fit = 0.0298477
Gen 4000: best_fit = 0.0297455
Gen 4050: best_fit = 0.0297056
Gen 4100: best_fit = 0.0296687
Gen 4150: best_fit = 0.0296303
Gen 4200: best_fit = 0.0296044
Gen 4250: best_fit = 0.0295211
Gen 4300: best_fit = 0.0294907
Gen 4350: best_fit = 0.0294461
Gen 4400: best_fit = 0.0294012
Gen 4450: best_fit = 0.0293391
Gen 4500: best_fit = 0.0292949
Gen 4550: best_fit = 0.0292581
Gen 4600: best_fit = 0.0292137
Gen 4650: best_fit = 0.0291848
Gen 4700: best_fit = 0.0291613
Gen 4750: best_fit = 0.0291018
Gen 4800: best_fit = 0.0290786
Gen 4850: best_fit = 0.0290461
Gen 4900: best_fit = 0.0290234
Gen 4950: best_fit = 0.0290076
Gen 5000: best_fit = 0.0289842
Gen 5050: best_fit = 0.0289434
Gen 5100: best_fit = 0.0289032
Gen 5150: best_fit = 0.028884
Gen 5200: best_fit = 0.0288644
Gen 5250: best_fit = 0.0288327
Gen 5300: best_fit = 0.0287752
Gen 5350: best_fit = 0.0287266
Gen 5400: best_fit = 0.0286949
Gen 5450: best_fit = 0.0286724
Gen 5500: best_fit = 0.0286353
Gen 5550: best_fit = 0.0286196
Gen 5600: best_fit = 0.0286017
Gen 5650: best_fit = 0.0285726
Gen 5700: best_fit = 0.0285422
Gen 5750: best_fit = 0.0285092
Gen 5800: best_fit = 0.0284681
Gen 5850: best_fit = 0.0284333
Gen 5900: best_fit = 0.028397
Gen 5950: best_fit = 0.0283602
Gen 6000: best_fit = 0.0283217
Gen 6050: best_fit = 0.0283033
Gen 6100: best_fit = 0.0282719
Gen 6150: best_fit = 0.0282397
Gen 6200: best_fit = 0.0282164
Gen 6250: best_fit = 0.0281826
Gen 6300: best_fit = 0.0281646
Gen 6350: best_fit = 0.028071
Gen 6400: best_fit = 0.0280549
Gen 6450: best_fit = 0.0280244
