Command: 'C:\Users\Hu\Desktop\CED_schedule_Final\build\Release\CED_Schedule.exe' '--solver' 'CGA' '--seed' '8' '--alpha' '0.2' '--generations' '10000' '--log_every' '50' '--data_dir' 'C:\Users\Hu\Desktop\CED_schedule_Final\data' '--data_file' 'data_matrix_100.txt' '--cnum' '100' '--enum' '100' '--dnum' '300' '--tnum' '100' '--mopt' '5'
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final\\data"
Data file: data_matrix_100.txt
Generations: 10000
Population size: 40
Random seed: 8
Pini (heuristic prob): 0.4
Objective alpha: 0.2
Solver: CGA
Cnum/Enum/Dnum/Tnum/Mopt: 100/100/300/100/5
Migration: disabled
CGA input: (raw data mode via --data_dir/--data_file)
CGA VM count (raw mode): 35
CGA communication scale (raw mode): 0.01
CGA edge ratio (raw mode): 0.6
CGA deadline factor (raw mode): 1.5
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final\\data\\data_matrix_100.txt"
[Normalization] f1_ref (makespan) = 90.8788
[Normalization] f2_ref (energy) = 14.6194
[Normalization] alpha = 0.2

=== Running CGA Solver ===
CGA mode: objective-compatible with CED_Schedule (best_fit smaller is better)
CGA params: pop=300, gen=10000, pc=0.75, pm(early/late)=0.03/0.01, cat=150, cat_apply_gen<=5000
Gen 50: best_fit = 0.193031
Gen 100: best_fit = 0.192963
Gen 150: best_fit = 0.19207
Gen 200: best_fit = 0.19207
Gen 250: best_fit = 0.191412
Gen 300: best_fit = 0.191041
Gen 350: best_fit = 0.190822
Gen 400: best_fit = 0.190822
Gen 450: best_fit = 0.190384
Gen 500: best_fit = 0.190064
Gen 550: best_fit = 0.189777
Gen 600: best_fit = 0.189541
Gen 650: best_fit = 0.189339
Gen 700: best_fit = 0.18912
Gen 750: best_fit = 0.188564
Gen 800: best_fit = 0.187923
Gen 850: best_fit = 0.187923
Gen 900: best_fit = 0.187468
Gen 950: best_fit = 0.186237
Gen 1000: best_fit = 0.185816
Gen 1050: best_fit = 0.18558
Gen 1100: best_fit = 0.184956
Gen 1150: best_fit = 0.184737
Gen 1200: best_fit = 0.184147
Gen 1250: best_fit = 0.183877
Gen 1300: best_fit = 0.183439
Gen 1350: best_fit = 0.183389
Gen 1400: best_fit = 0.182984
Gen 1450: best_fit = 0.182563
Gen 1500: best_fit = 0.182546
Gen 1550: best_fit = 0.182158
Gen 1600: best_fit = 0.181956
Gen 1650: best_fit = 0.181501
Gen 1700: best_fit = 0.181214
Gen 1750: best_fit = 0.181029
Gen 1800: best_fit = 0.180641
Gen 1850: best_fit = 0.180624
Gen 1900: best_fit = 0.180422
Gen 1950: best_fit = 0.180219
Gen 2000: best_fit = 0.180068
Gen 2050: best_fit = 0.179646
Gen 2100: best_fit = 0.179242
Gen 2150: best_fit = 0.178837
Gen 2200: best_fit = 0.178669
Gen 2250: best_fit = 0.178281
Gen 2300: best_fit = 0.178079
Gen 2350: best_fit = 0.177893
Gen 2400: best_fit = 0.177725
Gen 2450: best_fit = 0.17732
Gen 2500: best_fit = 0.177303
Gen 2550: best_fit = 0.177286
Gen 2600: best_fit = 0.176865
Gen 2650: best_fit = 0.176865
Gen 2700: best_fit = 0.176292
Gen 2750: best_fit = 0.176292
Gen 2800: best_fit = 0.176056
Gen 2850: best_fit = 0.175854
Gen 2900: best_fit = 0.175668
Gen 2950: best_fit = 0.175449
Gen 3000: best_fit = 0.175449
Gen 3050: best_fit = 0.175264
Gen 3100: best_fit = 0.175247
Gen 3150: best_fit = 0.175044
Gen 3200: best_fit = 0.17496
Gen 3250: best_fit = 0.174775
Gen 3300: best_fit = 0.174539
Gen 3350: best_fit = 0.174168
Gen 3400: best_fit = 0.173932
Gen 3450: best_fit = 0.173494
Gen 3500: best_fit = 0.173291
Gen 3550: best_fit = 0.173072
Gen 3600: best_fit = 0.172904
Gen 3650: best_fit = 0.172735
Gen 3700: best_fit = 0.172668
Gen 3750: best_fit = 0.172668
Gen 3800: best_fit = 0.172482
Gen 3850: best_fit = 0.172263
Gen 3900: best_fit = 0.172263
Gen 3950: best_fit = 0.172044
Gen 4000: best_fit = 0.172044
Gen 4050: best_fit = 0.171858
Gen 4100: best_fit = 0.171858
Gen 4150: best_fit = 0.171858
Gen 4200: best_fit = 0.171622
Gen 4250: best_fit = 0.171622
Gen 4300: best_fit = 0.171454
Gen 4350: best_fit = 0.17137
Gen 4400: best_fit = 0.171184
Gen 4450: best_fit = 0.170965
Gen 4500: best_fit = 0.170931
Gen 4550: best_fit = 0.170881
Gen 4600: best_fit = 0.170341
Gen 4650: best_fit = 0.170122
Gen 4700: best_fit = 0.169903
Gen 4750: best_fit = 0.169852
Gen 4800: best_fit = 0.169852
Gen 4850: best_fit = 0.169852
Gen 4900: best_fit = 0.169852
Gen 4950: best_fit = 0.169852
Gen 5000: best_fit = 0.16965
Gen 5050: best_fit = 0.169482
Gen 5100: best_fit = 0.169482
Gen 5150: best_fit = 0.169465
Gen 5200: best_fit = 0.169263
Gen 5250: best_fit = 0.169263
Gen 5300: best_fit = 0.169263
Gen 5350: best_fit = 0.169077
Gen 5400: best_fit = 0.169077
Gen 5450: best_fit = 0.169077
Gen 5500: best_fit = 0.168909
Gen 5550: best_fit = 0.168723
Gen 5600: best_fit = 0.168723
Gen 5650: best_fit = 0.168555
Gen 5700: best_fit = 0.168555
Gen 5750: best_fit = 0.168555
Gen 5800: best_fit = 0.168386
Gen 5850: best_fit = 0.168184
Gen 5900: best_fit = 0.16815
Gen 5950: best_fit = 0.16815
Gen 6000: best_fit = 0.167948
Gen 6050: best_fit = 0.167948
