Command: 'C:\Users\Hu\Desktop\CED_schedule_Final\build\Release\CED_Schedule.exe' '--solver' 'CGA' '--seed' '3' '--alpha' '0.2' '--generations' '10000' '--log_every' '50' '--data_dir' 'C:\Users\Hu\Desktop\CED_schedule_Final\data' '--data_file' 'data_matrix_100.txt' '--cnum' '100' '--enum' '100' '--dnum' '300' '--tnum' '100' '--mopt' '5'
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final\\data"
Data file: data_matrix_100.txt
Generations: 10000
Population size: 40
Random seed: 3
Pini (heuristic prob): 0.4
Objective alpha: 0.2
Solver: CGA
Cnum/Enum/Dnum/Tnum/Mopt: 100/100/300/100/5
Migration: disabled
CGA input: (raw data mode via --data_dir/--data_file)
CGA VM count (raw mode): 35
CGA communication scale (raw mode): 0.01
CGA edge ratio (raw mode): 0.6
CGA deadline factor (raw mode): 1.5
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final\\data\\data_matrix_100.txt"
[Normalization] f1_ref (makespan) = 90.9285
[Normalization] f2_ref (energy) = 14.6194
[Normalization] alpha = 0.2

=== Running CGA Solver ===
CGA mode: objective-compatible with CED_Schedule (best_fit smaller is better)
CGA params: pop=300, gen=10000, pc=0.75, pm(early/late)=0.03/0.01, cat=150, cat_apply_gen<=5000
Gen 50: best_fit = 0.194129
Gen 100: best_fit = 0.194129
Gen 150: best_fit = 0.193994
Gen 200: best_fit = 0.193758
Gen 250: best_fit = 0.193522
Gen 300: best_fit = 0.193084
Gen 350: best_fit = 0.19305
Gen 400: best_fit = 0.192949
Gen 450: best_fit = 0.192662
Gen 500: best_fit = 0.192426
Gen 550: best_fit = 0.191887
Gen 600: best_fit = 0.190757
Gen 650: best_fit = 0.19037
Gen 700: best_fit = 0.189948
Gen 750: best_fit = 0.18978
Gen 800: best_fit = 0.189358
Gen 850: best_fit = 0.188954
Gen 900: best_fit = 0.188397
Gen 950: best_fit = 0.188229
Gen 1000: best_fit = 0.187723
Gen 1050: best_fit = 0.18747
Gen 1100: best_fit = 0.187032
Gen 1150: best_fit = 0.186594
Gen 1200: best_fit = 0.186358
Gen 1250: best_fit = 0.185936
Gen 1300: best_fit = 0.185515
Gen 1350: best_fit = 0.185127
Gen 1400: best_fit = 0.184655
Gen 1450: best_fit = 0.184453
Gen 1500: best_fit = 0.18388
Gen 1550: best_fit = 0.18388
Gen 1600: best_fit = 0.183644
Gen 1650: best_fit = 0.183222
Gen 1700: best_fit = 0.183206
Gen 1750: best_fit = 0.182818
Gen 1800: best_fit = 0.182616
Gen 1850: best_fit = 0.182211
Gen 1900: best_fit = 0.182211
Gen 1950: best_fit = 0.181992
Gen 2000: best_fit = 0.181992
Gen 2050: best_fit = 0.18157
Gen 2100: best_fit = 0.18157
Gen 2150: best_fit = 0.1812
Gen 2200: best_fit = 0.180997
Gen 2250: best_fit = 0.180947
Gen 2300: best_fit = 0.180593
Gen 2350: best_fit = 0.180508
Gen 2400: best_fit = 0.18007
Gen 2450: best_fit = 0.179834
Gen 2500: best_fit = 0.179666
Gen 2550: best_fit = 0.17948
Gen 2600: best_fit = 0.179463
Gen 2650: best_fit = 0.179261
Gen 2700: best_fit = 0.179244
Gen 2750: best_fit = 0.179059
Gen 2800: best_fit = 0.178823
Gen 2850: best_fit = 0.178654
Gen 2900: best_fit = 0.178587
Gen 2950: best_fit = 0.17857
Gen 3000: best_fit = 0.178469
Gen 3050: best_fit = 0.178418
Gen 3100: best_fit = 0.178199
Gen 3150: best_fit = 0.177845
Gen 3200: best_fit = 0.177643
Gen 3250: best_fit = 0.177407
Gen 3300: best_fit = 0.177188
Gen 3350: best_fit = 0.177188
Gen 3400: best_fit = 0.177188
Gen 3450: best_fit = 0.176985
Gen 3500: best_fit = 0.176766
Gen 3550: best_fit = 0.176598
Gen 3600: best_fit = 0.176362
Gen 3650: best_fit = 0.176362
Gen 3700: best_fit = 0.176176
Gen 3750: best_fit = 0.175974
Gen 3800: best_fit = 0.175974
Gen 3850: best_fit = 0.175721
Gen 3900: best_fit = 0.175721
Gen 3950: best_fit = 0.175536
Gen 4000: best_fit = 0.175536
Gen 4050: best_fit = 0.175317
Gen 4100: best_fit = 0.175114
Gen 4150: best_fit = 0.174946
Gen 4200: best_fit = 0.174777
Gen 4250: best_fit = 0.17471
Gen 4300: best_fit = 0.174474
Gen 4350: best_fit = 0.174474
Gen 4400: best_fit = 0.174474
Gen 4450: best_fit = 0.174305
Gen 4500: best_fit = 0.174238
Gen 4550: best_fit = 0.174238
Gen 4600: best_fit = 0.174221
Gen 4650: best_fit = 0.174035
Gen 4700: best_fit = 0.173968
Gen 4750: best_fit = 0.173816
Gen 4800: best_fit = 0.173597
Gen 4850: best_fit = 0.173395
