gen,offload_GA,offload_DE,offload_BITFLIP,offload_RESAMPLE,seq_GA,seq_SWAP,seq_VNS,seq_RESAMPLE,dev_DE,dev_GDE,dev_LEVY,dev_RESAMPLE,overall_GA,overall_DE,overall_GDE,overall_BITFLIP,overall_SWAP,overall_VNS,overall_LEVY,overall_RESAMPLE
1650,0.0025,0.255,0.4925,0.25,0,0.7625,0.2325,0.005,0.005,0.25,0.745,0,0.000833333,0.0866667,0.0833333,0.164167,0.254167,0.0775,0.248333,0.085
1700,0,0.28,0.475,0.245,0.0025,0.775,0.2175,0.005,0.005,0.2575,0.7375,0,0.000833333,0.095,0.0858333,0.158333,0.258333,0.0725,0.245833,0.0833333
1750,0.01,0.245,0.495,0.25,0.01,0.6375,0.35,0.0025,0.0025,0.265,0.7325,0,0.00666667,0.0825,0.0883333,0.165,0.2125,0.116667,0.244167,0.0841667
1800,0.0125,0.2675,0.4675,0.2525,0.0025,0.7275,0.2625,0.0075,0.0025,0.25,0.745,0.0025,0.005,0.09,0.0833333,0.155833,0.2425,0.0875,0.248333,0.0875
1850,0.01,0.25,0.4875,0.2525,0.005,0.6675,0.3225,0.005,0.01,0.25,0.74,0,0.005,0.0866667,0.0833333,0.1625,0.2225,0.1075,0.246667,0.0858333
1900,0.0125,0.245,0.4925,0.25,0.01,0.67,0.31,0.01,0.0025,0.2425,0.755,0,0.0075,0.0825,0.0808333,0.164167,0.223333,0.103333,0.251667,0.0866667
1950,0.0025,0.255,0.4975,0.245,0,0.725,0.275,0,0.0025,0.25,0.7475,0,0.000833333,0.0858333,0.0833333,0.165833,0.241667,0.0916667,0.249167,0.0816667
2000,0.0025,0.2575,0.5275,0.2125,0.0025,0.74,0.2525,0.005,0.005,0.2475,0.7475,0,0.00166667,0.0875,0.0825,0.175833,0.246667,0.0841667,0.249167,0.0725
2050,0.005,0.255,0.4925,0.2475,0.0025,0.7575,0.2325,0.0075,0.0025,0.2525,0.74,0.005,0.0025,0.0858333,0.0841667,0.164167,0.2525,0.0775,0.246667,0.0866667
2100,0.0025,0.2475,0.4975,0.2525,0.0025,0.755,0.24,0.0025,0.005,0.26,0.7325,0.0025,0.00166667,0.0841667,0.0866667,0.165833,0.251667,0.08,0.244167,0.0858333
2150,0,0.2575,0.495,0.2475,0.0025,0.675,0.32,0.0025,0.005,0.26,0.735,0,0.000833333,0.0875,0.0866667,0.165,0.225,0.106667,0.245,0.0833333
2200,0.005,0.295,0.52,0.18,0.0075,0.7525,0.235,0.005,0.0025,0.2525,0.745,0,0.00416667,0.0991667,0.0841667,0.173333,0.250833,0.0783333,0.248333,0.0616667
2250,0.005,0.28,0.465,0.25,0.01,0.7375,0.245,0.0075,0.0075,0.25,0.7425,0,0.005,0.0958333,0.0833333,0.155,0.245833,0.0816667,0.2475,0.0858333
2300,0,0.25,0.525,0.225,0.0025,0.6825,0.3125,0.0025,0.0025,0.255,0.74,0.0025,0.000833333,0.0841667,0.085,0.175,0.2275,0.104167,0.246667,0.0766667
2350,0.005,0.27,0.545,0.18,0.0075,0.6075,0.3825,0.0025,0.0025,0.2525,0.7375,0.0075,0.00416667,0.0908333,0.0841667,0.181667,0.2025,0.1275,0.245833,0.0633333
2400,0.0025,0.2475,0.495,0.255,0.01,0.615,0.3675,0.0075,0.005,0.25,0.74,0.005,0.00416667,0.0841667,0.0833333,0.165,0.205,0.1225,0.246667,0.0891667
2450,0,0.27,0.48,0.25,0.0075,0.59,0.4,0.0025,0.0025,0.2525,0.745,0,0.0025,0.0908333,0.0841667,0.16,0.196667,0.133333,0.248333,0.0841667
2500,0.005,0.2675,0.5175,0.21,0.015,0.555,0.425,0.005,0.0075,0.2475,0.7425,0.0025,0.00666667,0.0916667,0.0825,0.1725,0.185,0.141667,0.2475,0.0725
2550,0.0025,0.25,0.495,0.2525,0.005,0.5475,0.4425,0.005,0.0025,0.245,0.7475,0.005,0.0025,0.0841667,0.0816667,0.165,0.1825,0.1475,0.249167,0.0875
2600,0.01,0.255,0.49,0.245,0.0025,0.545,0.45,0.0025,0.005,0.255,0.735,0.005,0.00416667,0.0866667,0.085,0.163333,0.181667,0.15,0.245,0.0841667
2650,0.0075,0.2775,0.4625,0.2525,0.0025,0.6525,0.345,0,0.0025,0.245,0.745,0.0075,0.00333333,0.0933333,0.0816667,0.154167,0.2175,0.115,0.248333,0.0866667
2700,0,0.255,0.4975,0.2475,0.0025,0.6575,0.3325,0.0075,0.005,0.245,0.7425,0.0075,0.000833333,0.0866667,0.0816667,0.165833,0.219167,0.110833,0.2475,0.0875
2750,0.005,0.2475,0.4925,0.255,0.005,0.53,0.465,0,0.0025,0.255,0.74,0.0025,0.00333333,0.0833333,0.085,0.164167,0.176667,0.155,0.246667,0.0858333
2800,0.005,0.2475,0.4975,0.25,0,0.525,0.4725,0.0025,0.005,0.2525,0.735,0.0075,0.00166667,0.0841667,0.0841667,0.165833,0.175,0.1575,0.245,0.0866667
2850,0.005,0.2475,0.4925,0.255,0.0025,0.56,0.43,0.0075,0.01,0.255,0.7325,0.0025,0.0025,0.0858333,0.085,0.164167,0.186667,0.143333,0.244167,0.0883333
2900,0.0025,0.2475,0.4975,0.2525,0.0025,0.6825,0.31,0.005,0.0025,0.2475,0.7425,0.0075,0.00166667,0.0833333,0.0825,0.165833,0.2275,0.103333,0.2475,0.0883333
2950,0,0.255,0.4975,0.2475,0.015,0.615,0.36,0.01,0.0025,0.2475,0.7475,0.0025,0.005,0.0858333,0.0825,0.165833,0.205,0.12,0.249167,0.0866667
3000,0,0.25,0.5,0.25,0.0025,0.6275,0.37,0,0,0.25,0.745,0.005,0.000833333,0.0833333,0.0833333,0.166667,0.209167,0.123333,0.248333,0.085
