gen,best_fitness,avg_fitness,diversity,epsilon,stagnation,gate_blocked_count,gate_fallback_count
50,0.05354825825125842,0.05440781832384672,0.02183199913489874,0,0,283,283
100,0.0502043774042634,0.05073855691903221,0.001270548261408891,0,0,590,590
150,0.04782147279374756,0.04828504287461224,0.001077979544109709,0,1,875,875
200,0.04611889300268157,0.04640407001929561,0.001241386148799229,0,0,1185,1185
250,0.04418305279812607,0.04450946520734755,0.0008949222464280662,0,1,1452,1452
300,0.04281459969854771,0.04308784614015424,0.00065837461710264,0,0,1738,1738
350,0.04145521893206849,0.04180420811760027,0.001131845744714302,0,0,2042,2042
400,0.04061042289821285,0.04077864661339831,0.0009846545224959649,0,1,2330,2330
450,0.03970494021589739,0.0399063876965909,0.001218524124494941,0,2,2624,2624
500,0.03893018584461815,0.03904767343257028,0.0005913836849896992,0,1,2954,2954
550,0.03830416961110644,0.03844720104365365,0.0007251694043753048,0,0,3268,3268
600,0.03764506080238821,0.0377796649457196,0.0007187966261081785,0,1,3556,3556
650,0.03719213741368396,0.0372394020700591,0.0005907601604577875,0,1,3865,3865
700,0.03681415962331817,0.03685792972660209,0.0007704871754852815,0,0,4161,4161
750,0.03622675548510502,0.03629578014689028,0.000571010712154304,0,2,4479,4479
800,0.03572407237148215,0.03577459862683405,0.0007968068402320652,0,1,4773,4773
850,0.03538827358521433,0.03543072627667579,0.0008896500193882589,0,5,5054,5054
900,0.0351833595525716,0.03520698415056023,0.0006355905620840204,0,0,5371,5371
950,0.03460883512026401,0.0347566978650864,0.0005860212407421327,0,2,5673,5673
1000,0.03412389472124181,0.03418991114982175,0.0005724258869058537,0,0,5984,5984
1050,0.0338970119911405,0.03393023594279978,0.0005497617157762477,0,0,6279,6279
1100,0.03367216922802384,0.03369997983472216,0.0006840527701776869,0,0,6572,6572
1150,0.03336077796633447,0.03338583752521036,0.001059629351265967,0,2,6882,6882
1200,0.03312888848525515,0.03314973189135995,0.000426941788500801,0,3,7186,7186
1250,0.03296351522658007,0.03297898165891427,0.0005194789523987164,0,0,7473,7473
1300,0.03275925815395804,0.0327834498960972,0.0005941801583110139,0,0,7781,7781
1350,0.032567545821049,0.03257970565037912,0.0006169782977714788,0,2,8072,8072
1400,0.03220698819327528,0.03225696239173435,0.0009870017025322695,0,2,8395,8395
1450,0.03194979203421815,0.03198327328680345,0.0005206763225734057,0,4,8711,8711
1500,0.03180879111444522,0.03183239681552285,0.0007210933763382913,0,0,9022,9022
1550,0.03164769179089174,0.03166420301922664,0.0004110935955187601,0,0,9294,9294
1600,0.03147347808115809,0.03150366778626863,0.0003117374840287255,0,1,9574,9574
1650,0.03132880069343034,0.03134553318241354,0.0005156101176078843,0,7,9857,9857
1700,0.03120799763787859,0.03122715722485134,0.0002078295550068558,0,0,10159,10159
1750,0.03112780976706569,0.03113779426453225,0.0004357920162446072,0,7,10457,10457
1800,0.03097833617444141,0.03098554891152425,0.0003039731203350961,0,2,10755,10755
1850,0.03081217635073741,0.03085223186894163,0.0003628308012330668,0,0,11059,11059
1900,0.03073138697765158,0.03074640985224627,0.0002373021568611639,0,3,11316,11316
1950,0.03067298320001991,0.03067958416779257,0.0004571974287910105,0,0,11622,11622
2000,0.03057738128837782,0.03058699220363427,0.0002892438586408565,0,1,11895,11895
2050,0.0304421638250759,0.03045702385611659,0.0003219191682362187,0,0,12205,12205
2100,0.03031753067274967,0.03032730364908173,0.0002351728716743903,0,2,12477,12477
2150,0.03016130472342449,0.03018770004575255,0.0002144850416771669,0,0,12740,12740
2200,0.03002298380652611,0.03003630142188095,0.0006249325383518748,0,0,13027,13027
2250,0.02992580112517636,0.02993894025145728,0.0003989868867931281,0,5,13341,13341
2300,0.02983848802640452,0.02985673358368686,0.000443518806785082,0,1,13627,13627
2350,0.02971224089447402,0.02973464826677124,0.0003051920872965693,0,3,13910,13910
2400,0.02962535625306244,0.02963319900837872,0.0003198853766750262,0,0,14211,14211
2450,0.02951294389816408,0.02952379058692172,0.0001686598377288731,0,0,14499,14499
2500,0.02945526691190085,0.02945982775727284,0.0004919085818356194,0,0,14777,14777
2550,0.02939793869413045,0.02940349960208162,0.0003419076460737338,0,7,15060,15060
2600,0.02935165530610573,0.02935758255147453,0.0002767508055372113,0,2,15331,15331
2650,0.02925122505731232,0.0292650117229736,0.0005099000955155396,0,1,15666,15666
2700,0.02914313021254679,0.02914968494201264,0.0001612528740499917,0,0,15960,15960
2750,0.02906799328275839,0.02907345373053673,0.0001153012151234913,0,0,16245,16245
2800,0.0290103847510257,0.02901493015902293,0.0001162432306667625,0,0,16519,16519
2850,0.0289414813763007,0.02895679304786282,0.0003457131533097009,0,0,16801,16801
2900,0.02888977035483417,0.02889516153397821,0.0002930007163803212,0,4,17092,17092
2950,0.02883482100245968,0.02884223986447153,0.0001504288580051312,0,0,17398,17398
3000,0.02873811830908082,0.02875067485885376,0.0002864409262492035,0,1,17720,17720
3050,0.02867620341764723,0.02868085656388304,0.0001480901780999637,0,3,17992,17992
3100,0.02862919349980654,0.02863442812448434,0.0002524079040684221,0,3,18252,18252
3150,0.02856777236640856,0.02857540918983663,0.0002757802972756276,0,8,18541,18541
3200,0.02849179574429996,0.02849829787471013,0.000179124045670228,0,7,18822,18822
3250,0.0284297639312485,0.02843424941087665,0.0001594248604549399,0,3,18995,18995
3300,0.02837662469488486,0.02838546876358011,0.0001987327207806977,0,2,19282,19282
3350,0.02833954937781178,0.02834148050892106,0.0003566424703096385,0,9,19569,19569
3400,0.02828636139719924,0.02829571737414219,0.0003690343594079096,0,0,19823,19823
3450,0.0282425666957699,0.02824629643066949,0.0002936081675701768,0,0,20142,20142
3500,0.02818620042101905,0.02819665064754525,0.0001889623911060088,0,0,20417,20417
3550,0.02812360707381963,0.02813727586543687,0.0002847764794188433,0,1,20735,20735
3600,0.028065377155255,0.02807514793099082,0.0001512956773564111,0,0,20982,20982
3650,0.02801664668103833,0.02802944047759087,0.000181683566494951,0,1,21266,21266
3700,0.02797881758150008,0.02798359854865341,0.000118874499771323,0,8,21568,21568
3750,0.0279343134729814,0.02794108889497838,0.0002968250462019518,0,1,21836,21836
3800,0.02785638987615012,0.02785964377798507,0.0001470957079541012,0,6,22101,22101
3850,0.0277288627386998,0.02774832309730504,0.0003652392890305937,0,6,22396,22396
3900,0.02766458480309954,0.02768767133234206,0.0001748643645418942,0,0,22606,22606
3950,0.02760881853889257,0.0276124885748555,0.0001503654100281082,0,1,22893,22893
4000,0.02757818439036078,0.0275803094873827,0.0003994298831087393,0,1,23169,23169
4050,0.02753359639775021,0.02753621436690172,9.513292984338685e-05,0,6,23468,23468
4100,0.02747668114791695,0.02748087165267081,0.0001073743959971638,0,2,23708,23708
4150,0.02744623298297725,0.02745014391162586,0.0002094999069325267,0,7,23987,23987
4200,0.0273894978948712,0.02739433668219526,0.0002441222640699887,0,3,24252,24252
4250,0.02735131245704771,0.02735623970614769,0.0002298988250574755,0,2,24533,24533
4300,0.0273122639304748,0.02731505449733455,8.247580060220225e-05,0,9,24819,24819
4350,0.02727827719726751,0.02728445131765029,0.0001470932648258529,0,2,25026,25026
4400,0.02725522549387577,0.02725675877157501,0.0001945498307149659,0,2,25299,25299
4450,0.02722086992616388,0.02722318176801679,9.212536239900156e-05,0,2,25552,25552
4500,0.02718079918188021,0.02718524057052861,0.0002246664993825078,0,2,25824,25824
