Command: 'C:\Users\Hu\Desktop\CED_schedule_Final\build\Release\CED_Schedule.exe' '--solver' 'CCHIHH' '--stable' '--resample_gate' '15' '--seed' '10' '--alpha' '0.8' '--generations' '10000' '--log_every' '50' '--data_dir' 'C:\Users\Hu\Desktop\CED_schedule_Final\data' '--data_file' 'data_matrix_T500_E200_D800.txt' '--cnum' '200' '--enum' '200' '--dnum' '800' '--tnum' '500' '--mopt' '5'
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final\\data"
Data file: data_matrix_T500_E200_D800.txt
Generations: 10000
Population size: 40
Random seed: 10
Pini (heuristic prob): 0.4
Objective alpha: 0.8
Solver: CCHIHH
Cnum/Enum/Dnum/Tnum/Mopt: 200/200/800/500/5
Migration: disabled
Stable mode: enabled
  resample_gate=15 reward_clip=0.2 eps0=0.2 eps_min=0.02 eps_k=0.01 lr0=0.05 lr_k=0.002
CCHIHH gate: enabled
CCHIHH blocks: enabled
CCHIHH migration: enabled
CCHIHH op mode: bandit
CCHIHH fixed ops: disabled
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final\\data\\data_matrix_T500_E200_D800.txt"
[Normalization] f1_ref (makespan) = 46241.7
[Normalization] f2_ref (energy) = 9760.12
[Normalization] alpha = 0.8

=== Running CC-HIHH-UCB Solver ===
[CC-HIHH] Initializing solver...
  CE_Tnum=500, M_Jnum=500, M_OPTnum=5, ops=2500
  Nvar=6000, popsize=40, nSubpop=8
  Block 0 (offload): start=0, len=1000
  Block 1 (seq): start=1000, len=2500
  Block 2 (dev): start=3500, len=2500
[CC-HIHH] Initial evaluation...
[CC-HIHH] Initial gbest_fit = 0.0529899
Gen 50: best_fit = 0.0358245
Gen 100: best_fit = 0.0332925
Gen 150: best_fit = 0.0314299
Gen 200: best_fit = 0.0305765
Gen 250: best_fit = 0.0293839
Gen 300: best_fit = 0.0289163
Gen 350: best_fit = 0.0287199
Gen 400: best_fit = 0.0284825
Gen 450: best_fit = 0.0282258
Gen 500: best_fit = 0.0279478
Gen 550: best_fit = 0.0277105
Gen 600: best_fit = 0.0276015
Gen 650: best_fit = 0.0274648
Gen 700: best_fit = 0.0273741
Gen 750: best_fit = 0.0272121
Gen 800: best_fit = 0.0270882
Gen 850: best_fit = 0.0269797
Gen 900: best_fit = 0.0268774
Gen 950: best_fit = 0.0267828
Gen 1000: best_fit = 0.0266835
Gen 1050: best_fit = 0.0266123
Gen 1100: best_fit = 0.0265397
Gen 1150: best_fit = 0.026488
Gen 1200: best_fit = 0.0264319
Gen 1250: best_fit = 0.0263714
Gen 1300: best_fit = 0.0263214
Gen 1350: best_fit = 0.0262781
Gen 1400: best_fit = 0.0261816
Gen 1450: best_fit = 0.0261118
Gen 1500: best_fit = 0.0260436
Gen 1550: best_fit = 0.0260058
Gen 1600: best_fit = 0.0259669
Gen 1650: best_fit = 0.0259109
Gen 1700: best_fit = 0.0258756
Gen 1750: best_fit = 0.02583
Gen 1800: best_fit = 0.0257928
Gen 1850: best_fit = 0.0257436
Gen 1900: best_fit = 0.0257125
Gen 1950: best_fit = 0.025663
Gen 2000: best_fit = 0.0256221
Gen 2050: best_fit = 0.025602
Gen 2100: best_fit = 0.0255586
Gen 2150: best_fit = 0.0255142
Gen 2200: best_fit = 0.0254822
Gen 2250: best_fit = 0.025441
Gen 2300: best_fit = 0.025441
Gen 2350: best_fit = 0.025441
Gen 2400: best_fit = 0.0254307
Gen 2450: best_fit = 0.0253906
Gen 2500: best_fit = 0.0253898
Gen 2550: best_fit = 0.0253763
Gen 2600: best_fit = 0.0253728
Gen 2650: best_fit = 0.0253728
Gen 2700: best_fit = 0.0253391
Gen 2750: best_fit = 0.0253345
Gen 2800: best_fit = 0.0253032
Gen 2850: best_fit = 0.0253014
Gen 2900: best_fit = 0.0253014
Gen 2950: best_fit = 0.0252894
Gen 3000: best_fit = 0.025257
Gen 3050: best_fit = 0.0252537
Gen 3100: best_fit = 0.0252435
Gen 3150: best_fit = 0.0252372
Gen 3200: best_fit = 0.0252286
Gen 3250: best_fit = 0.0252286
Gen 3300: best_fit = 0.0252124
Gen 3350: best_fit = 0.0252036
Gen 3400: best_fit = 0.0252024
Gen 3450: best_fit = 0.0251971
Gen 3500: best_fit = 0.0251826
Gen 3550: best_fit = 0.025174
Gen 3600: best_fit = 0.0251714
Gen 3650: best_fit = 0.0251714
Gen 3700: best_fit = 0.025166
Gen 3750: best_fit = 0.025166
Gen 3800: best_fit = 0.025155
Gen 3850: best_fit = 0.025151
Gen 3900: best_fit = 0.0251451
Gen 3950: best_fit = 0.0251273
Gen 4000: best_fit = 0.0251127
Gen 4050: best_fit = 0.0250957
Gen 4100: best_fit = 0.0250957
Gen 4150: best_fit = 0.0250844
Gen 4200: best_fit = 0.0250798
Gen 4250: best_fit = 0.0250787
Gen 4300: best_fit = 0.0250762
Gen 4350: best_fit = 0.0250731
Gen 4400: best_fit = 0.0250626
Gen 4450: best_fit = 0.0250453
Gen 4500: best_fit = 0.0250382
Gen 4550: best_fit = 0.0250297
Gen 4600: best_fit = 0.0250184
Gen 4650: best_fit = 0.0250102
Gen 4700: best_fit = 0.0249946
Gen 4750: best_fit = 0.0249808
Gen 4800: best_fit = 0.0249677
Gen 4850: best_fit = 0.0249615
Gen 4900: best_fit = 0.02495
Gen 4950: best_fit = 0.0249416
Gen 5000: best_fit = 0.0249299
Gen 5050: best_fit = 0.0249266
Gen 5100: best_fit = 0.0249172
Gen 5150: best_fit = 0.0249055
Gen 5200: best_fit = 0.0249
Gen 5250: best_fit = 0.024896
Gen 5300: best_fit = 0.024888
Gen 5350: best_fit = 0.0248744
Gen 5400: best_fit = 0.024873
Gen 5450: best_fit = 0.0248678
Gen 5500: best_fit = 0.0248627
Gen 5550: best_fit = 0.0248515
Gen 5600: best_fit = 0.0248474
Gen 5650: best_fit = 0.0248384
Gen 5700: best_fit = 0.0248287
Gen 5750: best_fit = 0.0248236
Gen 5800: best_fit = 0.0248179
Gen 5850: best_fit = 0.0248114
Gen 5900: best_fit = 0.0248039
Gen 5950: best_fit = 0.0247957
Gen 6000: best_fit = 0.0247884
Gen 6050: best_fit = 0.0247823
Gen 6100: best_fit = 0.0247803
Gen 6150: best_fit = 0.0247716
Gen 6200: best_fit = 0.0247655
Gen 6250: best_fit = 0.0247551
Gen 6300: best_fit = 0.0247474
Gen 6350: best_fit = 0.0247461
Gen 6400: best_fit = 0.0247436
Gen 6450: best_fit = 0.0247392
Gen 6500: best_fit = 0.0247338
Gen 6550: best_fit = 0.0247332
Gen 6600: best_fit = 0.0247253
