Command: 'C:\Users\Hu\Desktop\CED_schedule_Final\build\Release\CED_Schedule.exe' '--solver' 'CGA' '--seed' '3' '--alpha' '0.8' '--generations' '10000' '--log_every' '50' '--data_dir' 'C:\Users\Hu\Desktop\CED_schedule_Final\data' '--data_file' 'data_matrix_T500_E200_D800.txt' '--cnum' '200' '--enum' '200' '--dnum' '800' '--tnum' '500' '--mopt' '5'
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final\\data"
Data file: data_matrix_T500_E200_D800.txt
Generations: 10000
Population size: 40
Random seed: 3
Pini (heuristic prob): 0.4
Objective alpha: 0.8
Solver: CGA
Cnum/Enum/Dnum/Tnum/Mopt: 200/200/800/500/5
Migration: disabled
CGA input: (raw data mode via --data_dir/--data_file)
CGA VM count (raw mode): 175
CGA communication scale (raw mode): 0.01
CGA edge ratio (raw mode): 0.6
CGA deadline factor (raw mode): 1.5
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final\\data\\data_matrix_T500_E200_D800.txt"
[Normalization] f1_ref (makespan) = 47291.7
[Normalization] f2_ref (energy) = 9768.38
[Normalization] alpha = 0.8

=== Running CGA Solver ===
CGA mode: objective-compatible with CED_Schedule (best_fit smaller is better)
CGA params: pop=300, gen=10000, pc=0.75, pm(early/late)=0.03/0.01, cat=150, cat_apply_gen<=5000
Gen 50: best_fit = 0.0348931
Gen 100: best_fit = 0.0348435
Gen 150: best_fit = 0.0346268
Gen 200: best_fit = 0.0346102
Gen 250: best_fit = 0.0343789
Gen 300: best_fit = 0.0343214
Gen 350: best_fit = 0.0342311
Gen 400: best_fit = 0.0337111
Gen 450: best_fit = 0.0331499
Gen 500: best_fit = 0.0329249
Gen 550: best_fit = 0.0329094
Gen 600: best_fit = 0.0327508
Gen 650: best_fit = 0.0324668
Gen 700: best_fit = 0.0324519
Gen 750: best_fit = 0.0324057
Gen 800: best_fit = 0.0324013
Gen 850: best_fit = 0.0323584
Gen 900: best_fit = 0.032262
Gen 950: best_fit = 0.0322282
Gen 1000: best_fit = 0.0321308
Gen 1050: best_fit = 0.0321194
Gen 1100: best_fit = 0.0321144
Gen 1150: best_fit = 0.0320869
Gen 1200: best_fit = 0.0320246
Gen 1250: best_fit = 0.0320204
Gen 1300: best_fit = 0.0319758
Gen 1350: best_fit = 0.0319705
Gen 1400: best_fit = 0.0319652
Gen 1450: best_fit = 0.0319218
Gen 1500: best_fit = 0.0319087
Gen 1550: best_fit = 0.0319005
Gen 1600: best_fit = 0.0318879
Gen 1650: best_fit = 0.0318633
Gen 1700: best_fit = 0.0318157
Gen 1750: best_fit = 0.0318086
Gen 1800: best_fit = 0.0317452
Gen 1850: best_fit = 0.0317259
Gen 1900: best_fit = 0.0317098
Gen 1950: best_fit = 0.0317002
Gen 2000: best_fit = 0.0316046
Gen 2050: best_fit = 0.031593
Gen 2100: best_fit = 0.0315751
Gen 2150: best_fit = 0.0315401
Gen 2200: best_fit = 0.0315123
Gen 2250: best_fit = 0.0315042
Gen 2300: best_fit = 0.0315006
Gen 2350: best_fit = 0.031408
Gen 2400: best_fit = 0.0313949
Gen 2450: best_fit = 0.0313781
