gen,CCHIHH (stable) mean,CCHIHH (stable) var,"CCHIHH (stable, no migration) mean","CCHIHH (stable, no migration) var"
50,55.738980000000005,7.507559999999806e-05,55.74879,5.667890000000767e-05
100,55.70434,0.00013722640000000144,55.736959999999996,0.0001373664000000001
150,55.685109999999995,0.00023451690000000398,55.73051,0.0002586108999999868
200,55.66588,0.00021638759999999577,55.72578,0.0002746576000000383
250,55.646820000000005,0.00024585560000000477,55.719280000000005,0.0002690676000000088
300,55.62688000000001,0.00023451560000001013,55.711760000000005,0.00018511439999998184
350,55.605650000000004,0.0002963225000000402,55.699149999999996,0.00016688250000001628
400,55.586220000000004,0.00026284359999999523,55.69151000000001,0.0001524048999999861
450,55.57021999999999,0.00023957959999998559,55.68317,0.00013378009999999777
500,55.55377,0.00024426010000000296,55.67948,0.00012207360000000394
550,55.53865,0.00020526850000000176,55.67193999999999,0.00013882639999997695
600,55.52570000000001,0.00023792999999999227,55.66526,0.00020144039999997593
650,55.51305,0.00026410450000002866,55.65919,0.00012785090000001025
700,55.4994,0.0003530960000000312,55.64966,0.0002010724000000195
750,55.48821,0.0003826088999999623,55.64631000000001,0.00018441290000002604
800,55.47826,0.00041382040000006206,55.63847,0.00020656209999999107
850,55.4692,0.0003621199999999898,55.631569999999996,0.00017622009999999092
900,55.458569999999995,0.00036563809999995086,55.6284,0.00013687799999997533
950,55.449,0.00034862400000001227,55.62494,0.00016167839999997588
1000,55.44153,0.00037369409999997503,55.61976,0.00022871639999998052
1050,55.431889999999996,0.0003283389000000076,55.61684,0.00021347839999999045
1100,55.42608,0.00026102359999999184,55.6134,0.0002906119999999791
1150,55.41847,0.00024258809999998173,55.61123,0.0002893361000000002
1200,55.41114,0.0002985564000000065,55.60831,0.0003140609000000117
1250,55.40495,0.00030498450000001866,55.605230000000006,0.00032499209999999333
1300,55.39799000000001,0.0002445368999999755,55.600519999999996,0.00035297359999999155
1350,55.39176,0.00031562240000001303,55.59554000000001,0.0002987704000000269
1400,55.384280000000004,0.000332401600000017,55.59204999999999,0.0003089464999999724
