gen,CCHIHH (stable) mean,CCHIHH (stable) var,"CCHIHH (stable, no blocks) mean","CCHIHH (stable, no blocks) var"
50,55.738980000000005,7.507559999999806e-05,55.77954,0.0002919143999999789
100,55.70434,0.00013722640000000144,55.76610000000001,0.00042414399999996677
150,55.685109999999995,0.00023451690000000398,55.75742,0.00041837360000002426
200,55.66588,0.00021638759999999577,55.74624,0.0004769624000000216
250,55.646820000000005,0.00024585560000000477,55.743460000000006,0.0003914003999999754
300,55.62688000000001,0.00023451560000001013,55.738020000000006,0.0005241396000000187
350,55.605650000000004,0.0002963225000000402,55.73496,0.00043455839999999215
400,55.586220000000004,0.00026284359999999523,55.73388,0.0004253135999999864
450,55.57021999999999,0.00023957959999998559,55.73388,0.0004253135999999864
500,55.55377,0.00024426010000000296,55.73283,0.00041902409999999
550,55.53865,0.00020526850000000176,55.732119999999995,0.0004016735999999927
600,55.52570000000001,0.00023792999999999227,55.73044,0.00039371039999998596
650,55.51305,0.00026410450000002866,55.72828,0.00044192159999999046
700,55.4994,0.0003530960000000312,55.727779999999996,0.0004397215999999931
750,55.48821,0.0003826088999999623,55.72569,0.0005170788999999691
800,55.47826,0.00041382040000006206,55.722860000000004,0.0005795423999999751
850,55.4692,0.0003621199999999898,55.72256,0.0005800283999999767
900,55.458569999999995,0.00036563809999995086,55.72256,0.0005800283999999767
950,55.449,0.00034862400000001227,55.72256,0.0005800283999999767
1000,55.44153,0.00037369409999997503,55.72213000000001,0.0005835500999999799
1050,55.431889999999996,0.0003283389000000076,55.72074,0.0006802524000000268
1100,55.42608,0.00026102359999999184,55.72046,0.0006740924000000411
1150,55.41847,0.00024258809999998173,55.719809999999995,0.0006640549000000247
1200,55.41114,0.0002985564000000065,55.719809999999995,0.0006640549000000247
1250,55.40495,0.00030498450000001866,55.71968,0.0006651716000000258
1300,55.39799000000001,0.0002445368999999755,55.71734,0.0006881143999999901
1350,55.39176,0.00031562240000001303,55.71734,0.0006881143999999901
1400,55.384280000000004,0.000332401600000017,55.71679,0.0006822788999999909
1450,55.378409999999995,0.0003743129000000432,55.716629999999995,0.0006835300999999877
1500,55.371050000000004,0.0003643705000000028,55.715430000000005,0.0007076020999999828
1550,55.364340000000006,0.0003612063999999943,55.715430000000005,0.0007076020999999828
1600,55.35834,0.000351814399999985,55.715430000000005,0.0007076020999999828
1650,55.35449,0.00034850489999997106,55.71522,0.0007144796000000018
1700,55.34782,0.0003149356000000144,55.714290000000005,0.0007544788999999872
1750,55.34326,0.00033831640000000823,55.714290000000005,0.0007544788999999872
1800,55.338080000000005,0.00034698559999995755,55.712509999999995,0.0008744508999999949
1850,55.33226,0.00030335439999999524,55.712509999999995,0.0008744508999999949
1900,55.32844,0.00032981440000002014,55.712509999999995,0.0008744508999999949
1950,55.323130000000006,0.00029392009999995285,55.71109,0.0008588308999999883
2000,55.318949999999994,0.0003457964999999857,55.71109,0.0008588308999999883
2050,55.31458,0.0003385236000000157,55.71032,0.0008449175999999828
2100,55.30922,0.00035106360000002366,55.71032,0.0008449175999999828
2150,55.30466,0.0003180243999999692,55.71032,0.0008449175999999828
2200,55.30116,0.0003259223999999926,55.71032,0.0008449175999999828
2250,55.29742,0.000318315600000029,55.70955,0.0008978704999999786
2300,55.29204,0.0003271564000000263,55.70955,0.0008978704999999786
2350,55.28922,0.00032727159999997724,55.70955,0.0008978704999999786
2400,55.28489,0.0002907029000000279,55.70955,0.0008978704999999786
2450,55.28026,0.000294622399999999,55.709270000000004,0.0009202760999999832
2500,55.27716,0.0002960923999999934,55.709019999999995,0.0009414735999999634
2550,55.275220000000004,0.0002632515999999771,55.70889999999999,0.0009520480000000013
2600,55.27225,0.0002687244999999505,55.70819,0.001019916899999944
