gen,CCHIHH (stable) mean,CCHIHH (stable) var,"CCHIHH (stable, no blocks) mean","CCHIHH (stable, no blocks) var"
4950,55.16784,0.00013406039999999935,55.68243,0.0022760741000000216
5000,55.16662,0.00012607359999998073,55.68243,0.0022760741000000216
5050,55.16443,0.00013438810000001474,55.68243,0.0022760741000000216
5100,55.16381,0.0001327389000000128,55.68243,0.0022760741000000216
5150,55.16151,0.0001328789000000099,55.68203,0.002355378099999978
5200,55.15998999999999,0.00013266689999999066,55.68203,0.002355378099999978
5250,55.1583,0.00011945000000000937,55.68203,0.002355378099999978
5300,55.15647,0.0001087481000000027,55.68124,0.0023415944000000507
5350,55.155060000000006,0.00012843039999998836,55.68124,0.0023415944000000507
5400,55.15289,0.00015056089999999908,55.68084,0.002339866400000049
5450,55.15174,0.00014868640000001085,55.68038,0.0023591515999999936
5500,55.150639999999996,0.00015434839999998697,55.67963999999999,0.0024192644000000643
5550,55.14892,0.00016755159999999941,55.679610000000004,0.0024254968999999757
5600,55.14849,0.00016169689999998778,55.67896,0.0025182044000000414
5650,55.147749999999995,0.00016848050000000384,55.6789,0.002523248000000029
5700,55.14491,0.0002130368999999977,55.67881,0.0025424729000000606
5750,55.14369000000001,0.0001880288999999846,55.678779999999996,0.0025489135999999697
5800,55.14226,0.00015996839999999572,55.678779999999996,0.0025489135999999697
5850,55.14118,0.00018053159999999174,55.67862,0.0025835376000000426
5900,55.13995,0.0002081544999999884,55.67791999999999,0.0026377156000000545
5950,55.13869,0.00018731289999999345,55.67662,0.0026530656000000674
6000,55.13808,0.0002052935999999601,55.674609999999994,0.0027894248999999587
6050,55.13679,0.00021288289999998265,55.674459999999996,0.0028224803999999594
6100,55.13626000000001,0.00021796240000002189,55.67412,0.0028492655999999518
6150,55.13494000000001,0.00019942240000002612,55.67406,0.002854208399999999
6200,55.134119999999996,0.0002062816000000119,55.67273,0.003055076100000011
6250,55.13346,0.00018752240000000846,55.67211999999999,0.0031127816000000473
6300,55.13201,0.00019607689999997252,55.67211999999999,0.0031127816000000473
6350,55.131600000000006,0.00021566799999999504,55.67211999999999,0.0031127816000000473
6400,55.130179999999996,0.00019305360000000248,55.67190000000001,0.0031659820000000958
6450,55.13002,0.00019287160000000075,55.67172000000001,0.003210157599999993
6500,55.129279999999994,0.00021359960000001161,55.67153,0.0032574200999999714
6550,55.12749,0.00019273890000001565,55.67153,0.0032574200999999714
6600,55.12706000000001,0.00019478239999999586,55.67088,0.003235781599999986
6650,55.12549,0.00019944890000000602,55.670730000000006,0.0032733580999999867
6700,55.12531,0.0001993649000000092,55.669500000000006,0.0033460380000000533
6750,55.12454,0.0001882423999999798,55.669219999999996,0.0034183116000000694
6800,55.12233,0.000179782099999974,55.667280000000005,0.0035678976000000097
6850,55.12152999999999,0.000171606099999983,55.666729999999994,0.003724708099999947
6900,55.120360000000005,0.0002083324000000026,55.66636,0.0037464603999999577
6950,55.1203,0.00020772400000001134,55.664699999999996,0.003991908000000121
7000,55.119960000000006,0.00021421840000001208,55.663959999999996,0.004220760400000028
7050,55.118849999999995,0.00021319450000003383,55.66324999999999,0.004449600500000066
7100,55.11829,0.00022823889999999935,55.66324999999999,0.004449600500000066
7150,55.11733,0.00020208010000001612,55.66275,0.004470816499999949
7200,55.116319999999995,0.00019831560000000415,55.66232,0.004614767599999968
7250,55.115480000000005,0.00018147160000003362,55.66149,0.004579298900000061
7300,55.11505,0.00017755050000002267,55.66056999999999,0.004898594100000055
7350,55.11471,0.0001742049000000245,55.66056999999999,0.004898594100000055
7400,55.11417,0.00017145210000001524,55.65998,0.005111377600000201
7450,55.11349,0.00015976490000001279,55.65998,0.005111377600000201
7500,55.112159999999996,0.00013768640000001167,55.65995,0.005109944500000221
7550,55.1111,0.00013712600000000656,55.659670000000006,0.005097350100000218
7600,55.11107,0.00013699010000000532,55.65927000000001,0.005086686100000224
7650,55.11066000000001,0.0001405243999999839,55.65893,0.0050798861000002265
7700,55.10933,0.00012021209999998905,55.65893,0.0050798861000002265
7750,55.10915,0.00011835449999997693,55.65893,0.0050798861000002265
7800,55.10857,0.00010674609999998331,55.65893,0.0050798861000002265
7850,55.10848,0.00010920759999998728,55.657939999999996,0.00514345640000013
7900,55.10848,0.00010920759999998728,55.65757,0.005133174100000145
7950,55.108019999999996,0.00010332560000000526,55.656870000000005,0.005393882100000068
8000,55.10690999999999,0.00010552490000001432,55.656870000000005,0.005393882100000068
8050,55.1058,9.950800000000614e-05,55.656870000000005,0.005393882100000068
8100,55.10536,9.101640000001359e-05,55.656870000000005,0.005393882100000068
8150,55.10504999999999,9.25385000000147e-05,55.656870000000005,0.005393882100000068
8200,55.104330000000004,8.397010000001596e-05,55.656870000000005,0.005393882100000068
8250,55.103899999999996,7.728400000002004e-05,55.656870000000005,0.005393882100000068
8300,55.103809999999996,7.784290000002121e-05,55.656870000000005,0.005393882100000068
8350,55.10277,7.444010000002158e-05,55.65650000000001,0.005386656000000063
8400,55.102059999999994,7.667840000001579e-05,55.65650000000001,0.005386656000000063
8450,55.10169,7.394090000001378e-05,55.65650000000001,0.005386656000000063
8500,55.10163,7.451210000001702e-05,55.65650000000001,0.005386656000000063
8550,55.1009,8.16600000000086e-05,55.6562,0.00535674600000006
8600,55.10046,9.284040000000262e-05,55.6562,0.00535674600000006
8650,55.100030000000004,9.846210000002343e-05,55.65558,0.0053052116000000035
8700,55.09985,9.736050000002378e-05,55.65558,0.0053052116000000035
8750,55.099450000000004,9.648250000002098e-05,55.65554999999999,0.005316504500000111
8800,55.09841,9.752890000001965e-05,55.65554999999999,0.005316504500000111
8850,55.09801,9.588490000001797e-05,55.65505,0.005371784499999971
8900,55.096590000000006,9.533890000001377e-05,55.65472,0.005363029599999962
8950,55.09553,9.155410000001284e-05,55.65414,0.005585436399999986
9000,55.0954,9.14640000000132e-05,55.65414,0.005585436399999986
9050,55.09496,9.27384000000132e-05,55.65414,0.005585436399999986
9100,55.09389,8.223089999999896e-05,55.65414,0.005585436399999986
9150,55.09385999999999,8.228039999999936e-05,55.65414,0.005585436399999986
9200,55.09352,8.28756000000012e-05,55.65414,0.005585436399999986
9250,55.092510000000004,8.441890000000652e-05,55.65414,0.005585436399999986
9300,55.09239,8.0668899999994e-05,55.6534,0.00557207199999999
9350,55.09186,8.340639999998431e-05,55.6534,0.00557207199999999
9400,55.091210000000004,9.53088999999934e-05,55.6534,0.00557207199999999
9450,55.089800000000004,6.095400000000408e-05,55.6534,0.00557207199999999
9500,55.08933,6.327809999999642e-05,55.65327,0.00562256010000001
9550,55.088930000000005,6.186209999999594e-05,55.65327,0.00562256010000001
9600,55.08779,7.133689999999182e-05,55.65207,0.005621528100000005
9650,55.08776,7.115239999999005e-05,55.65167,0.005641264099999995
9700,55.08767,7.132009999999147e-05,55.651300000000006,0.00563085599999999
9750,55.08651,8.297289999999547e-05,55.65127,0.0056424321000001
9800,55.08568,8.58795999999918e-05,55.65127,0.0056424321000001
9850,55.08528,9.37196000000014e-05,55.65127,0.0056424321000001
9900,55.08358,9.733960000002214e-05,55.65127,0.0056424321000001
9950,55.0834,9.701200000003168e-05,55.65127,0.0056424321000001
10000,55.08331,9.91549000000353e-05,55.65127,0.0056424321000001
