gen,CCHIHH (stable) mean,CCHIHH (stable) var,"CCHIHH (stable, random ops) mean","CCHIHH (stable, random ops) var"
50,55.738980000000005,7.507559999999806e-05,55.73357,5.941809999999634e-05
100,55.70434,0.00013722640000000144,55.69149,0.0001530109000000091
150,55.685109999999995,0.00023451690000000398,55.658519999999996,0.00018093760000000554
200,55.66588,0.00021638759999999577,55.63489,0.0002360108999999986
250,55.646820000000005,0.00024585560000000477,55.61794999999999,0.00019211649999997793
300,55.62688000000001,0.00023451560000001013,55.59916,0.00017737640000001762
350,55.605650000000004,0.0002963225000000402,55.582640000000005,0.00014361639999998236
400,55.586220000000004,0.00026284359999999523,55.56585,0.00014045650000003143
450,55.57021999999999,0.00023957959999998559,55.549749999999996,0.0001740644999999946
500,55.55377,0.00024426010000000296,55.536699999999996,0.00019541000000000293
550,55.53865,0.00020526850000000176,55.524739999999994,0.00018473639999999904
600,55.52570000000001,0.00023792999999999227,55.514359999999996,0.00017680439999999666
650,55.51305,0.00026410450000002866,55.50506,0.00014785640000001488
700,55.4994,0.0003530960000000312,55.49264000000001,0.00010255039999999032
750,55.48821,0.0003826088999999623,55.482780000000005,0.00010717559999998569
800,55.47826,0.00041382040000006206,55.4731,0.00011149799999999174
850,55.4692,0.0003621199999999898,55.46373,0.00013520810000000318
900,55.458569999999995,0.00036563809999995086,55.454089999999994,0.00015845889999999667
950,55.449,0.00034862400000001227,55.446690000000004,0.00014010889999999443
1000,55.44153,0.00037369409999997503,55.438739999999996,0.0001441504000000014
1050,55.431889999999996,0.0003283389000000076,55.4329,0.00015151200000000815
1100,55.42608,0.00026102359999999184,55.42546,0.00014768839999998234
1150,55.41847,0.00024258809999998173,55.41994,0.0001215964000000039
1200,55.41114,0.0002985564000000065,55.41407,0.00010400610000000157
1250,55.40495,0.00030498450000001866,55.40575,8.957049999999728e-05
1300,55.39799000000001,0.0002445368999999755,55.39859,9.181290000001417e-05
1350,55.39176,0.00031562240000001303,55.392999999999994,8.311799999999612e-05
1400,55.384280000000004,0.000332401600000017,55.38634,0.0001270823999999879
1450,55.378409999999995,0.0003743129000000432,55.38083,0.0001252781000000238
1500,55.371050000000004,0.0003643705000000028,55.376549999999995,0.00014256650000000177
1550,55.364340000000006,0.0003612063999999943,55.37319,0.00014605089999999665
1600,55.35834,0.000351814399999985,55.36793,0.00013764609999999107
1650,55.35449,0.00034850489999997106,55.364520000000006,0.00012441359999999335
1700,55.34782,0.0003149356000000144,55.361869999999996,8.494010000001742e-05
1750,55.34326,0.00033831640000000823,55.356970000000004,6.845009999999433e-05
1800,55.338080000000005,0.00034698559999995755,55.351980000000005,7.384760000000477e-05
1850,55.33226,0.00030335439999999524,55.34724,5.016640000000738e-05
1900,55.32844,0.00032981440000002014,55.3432,3.53479999999917e-05
1950,55.323130000000006,0.00029392009999995285,55.33961000000001,4.077889999999568e-05
2000,55.318949999999994,0.0003457964999999857,55.337270000000004,3.1514100000006394e-05
2050,55.31458,0.0003385236000000157,55.33356,2.4518400000000338e-05
2100,55.30922,0.00035106360000002366,55.329240000000006,2.3878399999998037e-05
2150,55.30466,0.0003180243999999692,55.32734000000001,2.4290399999994044e-05
2200,55.30116,0.0003259223999999926,55.32346,2.3468399999997758e-05
2250,55.29742,0.000318315600000029,55.319759999999995,3.0012399999995993e-05
2300,55.29204,0.0003271564000000263,55.31656,4.013839999998418e-05
2350,55.28922,0.00032727159999997724,55.31442,4.018959999999255e-05
2400,55.28489,0.0002907029000000279,55.31229,3.4578900000008e-05
2450,55.28026,0.000294622399999999,55.30886,3.882840000000626e-05
2500,55.27716,0.0002960923999999934,55.30619,3.984489999999444e-05
