seed,gate_blocked_total,gate_fallback_total
1,3702,3702
2,4839,4839
3,4331,4331
4,2867,2867
5,3509,3509
6,3624,3624
7,3750,3750
8,3407,3407
9,4417,4417
10,3616,3616

metric,mean,std,min,max
gate_blocked_total,3806.2,570.4132614945842,2867,4839
gate_fallback_total,3806.2,570.4132614945842,2867,4839
