gen,full_mean,full_var,full_ci95,nocc_mean,nocc_var,nocc_ci95
50,0.3790931,7.578122900000046e-07,0.000539556456106682,0.3805556,3.0035588399999925e-06,0.0010741727812481551
100,0.3720408,1.0811355600000012e-06,0.0006444602677664468,0.37708969999999997,6.226244810000028e-06,0.0015465685261926193
150,0.3662324,6.473916400000139e-07,0.0004987002831585373,0.3746469,1.299072749e-05,0.0022339467031597684
200,0.36261329999999997,5.324316099999934e-07,0.0004522598006650574,0.3728743,1.4576288809999986e-05,0.00236635312437717
250,0.3604811,8.054466900000105e-07,0.0005562556969869199,0.3713514,2.6466810640000042e-05,0.0031886501807916177
300,0.3590311,7.993192900000049e-07,0.0005541358122756567,0.3698089,3.317393409000001e-05,0.003569887746136341
350,0.35797310000000004,5.076078899999986e-07,0.00044159104046889296,0.3691594,3.450586584000002e-05,0.003640847898648666
400,0.3569559,6.323494900000035e-07,0.0004928725799620032,0.36863049999999997,3.335735905e-05,0.0035797434339136652
450,0.3561105,7.834638499999995e-07,0.0005486123154067905,0.3680892,3.244504816000008e-05,0.00353045177012031
500,0.3552281,6.858166899999904e-07,0.000513286800561242,0.3679646,3.1993485840000084e-05,0.0035057977009939453
550,0.3543784,6.176646400000001e-07,0.00048711605198597185,0.367809,3.165131600000003e-05,0.003487000079518211
600,0.35377200000000003,6.916287999999968e-07,0.0005154571949328079,0.3675394,3.205230043999999e-05,0.00350901862876651
650,0.353145,6.216430000000102e-07,0.0004886822841888214,0.3674516,3.326648644000006e-05,0.0035748641136119316
700,0.35246900000000003,6.113990000000077e-07,0.000484639082039411,0.3671862,3.2263776559999965e-05,0.0035205755784089607
750,0.3520114,4.804270399999938e-07,0.00042960546049415805,0.366788,3.174452880000005e-05,0.003492130894426499
800,0.3516376,5.569380400000003e-07,0.0004625508809270609,0.3664244,3.1354177040000036e-05,0.0034705937030552014
850,0.3511149,9.262774900000228e-07,0.0005965222213450299,0.3661487,2.9482015209999987e-05,0.003365384222206076
900,0.35073889999999996,1.0266842900000066e-06,0.0006280215257826778,0.36564199999999997,2.593178719999999e-05,0.0031562565438747205
950,0.35031219999999996,9.960919599999938e-07,0.0006185941216610433,0.3654113,2.645558021000006e-05,0.0031879736030076575
