gen,full_mean,full_var,full_ci95,nocc_mean,nocc_var,nocc_ci95
50,0.054951530000000005,1.4698069180999992e-06,0.0007514259947974223,0.05455332,2.3193069315999973e-06,0.0009439199917596061
100,0.05077222,1.2715007896000007e-06,0.000698898950730888,0.05227652000000001,3.1639829856000027e-06,0.0011024861467374984
150,0.0483989,1.9073182440000005e-06,0.0008559879535455158,0.05095032000000001,3.778130135599997e-06,0.001204743322410253
200,0.04633273,2.261669518099999e-06,0.0009321174615215056,0.05046648,3.599389037600002e-06,0.0011759002052404008
250,0.04471117,2.5283377561000013e-06,0.0009855385494151796,0.05017834,3.0967516584000028e-06,0.0010907099142718677
300,0.04326386,2.443367184400003e-06,0.0009688363832758888,0.0499015,3.2085611679999973e-06,0.0011102255889227552
350,0.04205097,2.225077708100003e-06,0.0009245462954031546,0.049452380000000004,2.7644763495999996e-06,0.001030534441182019
400,0.04103797,2.3414476880999972e-06,0.0009484147530803678,0.04933863,2.947171362099999e-06,0.0010640419871717167
450,0.04016045,2.1315906804999977e-06,0.0009049153970515028,0.04933863,2.947171362099999e-06,0.0010640419871717167
500,0.03921657,1.542356182099999e-06,0.0007697477190063869,0.04933863,2.947171362099999e-06,0.0010640419871717167
550,0.03856933,1.195912202100001e-06,0.0006778064853324555,0.04929899,2.9159437628999992e-06,0.0010583897939585698
600,0.03796998,9.875438316000008e-07,0.000615934118512245,0.04917515,3.0005933564999986e-06,0.001073642372409472
650,0.037428420000000004,8.103502955999986e-07,0.0005579463859168687,0.048952869999999996,3.009512562099999e-06,0.0010752368789510225
700,0.03693554,7.216993223999983e-07,0.0005265434566046599,0.04873562,3.3381266075999982e-06,0.0011324198503980824
750,0.03653255,6.615466864999995e-07,0.0005041227777891411,0.048572180000000006,3.338084661599999e-06,0.0011324127355342908
800,0.03615397,6.362981500999995e-07,0.00049440903849183,0.04838285,3.906322612499999e-06,0.001225011385587089
850,0.03575997,5.098753020999996e-07,0.0004425762036697588,0.04819098,2.9177493335999993e-06,0.0010587174240541126
900,0.03540414,4.392320924000003e-07,0.0004107741479406708,0.04819098,2.9177493335999993e-06,0.0010587174240541126
950,0.03507674,4.1651214039999934e-07,0.00040000912971589005,0.04819098,2.9177493335999993e-06,0.0010587174240541126
1000,0.03478786,3.747360184000004e-07,0.0003794187512874715,0.04806237,3.0024583100999992e-06,0.0010739759701259687
1050,0.03450981,3.1886206690000047e-07,0.0003499915022115597,0.04799618,2.881736721599998e-06,0.001052163475401924
1100,0.03425203,2.850116500999993e-07,0.00033089284595230485,0.04785807,2.490095830099999e-06,0.000978056856267168
1150,0.03399585,2.762482765000003e-07,0.00032576607849842213,0.047688770000000005,2.7938268020999997e-06,0.00103599059083311
1200,0.03377299,2.598189608999997e-07,0.0003159304544030915,0.047631450000000006,2.7259142464999974e-06,0.0010233216585880701
1250,0.033553,2.7736335799999994e-07,0.00032642289688267884,0.04740428,2.443730487599998e-06,0.0009689084085280792
1300,0.03327581,2.3312343690000105e-07,0.00029926025382516865,0.047386,2.461405053999998e-06,0.0009724059674563085
1350,0.03306672,2.3696172959999952e-07,0.0003017138015456631,0.047386,2.461405053999998e-06,0.0009724059674563085
1400,0.03285421,2.377137108999993e-07,0.0003021921560519792,0.04721761,1.9663650928999974e-06,0.0008691368212706576
1450,0.0326461,1.9632709000000028e-07,0.00027462886755474214,0.04720052,1.9054876075999994e-06,0.0008555770680281325
1500,0.03247861,1.8744605089999942e-07,0.0002683454395247733,0.04720052,1.9054876075999994e-06,0.0008555770680281325
1550,0.03230677,1.8705507209999886e-07,0.0002680654332396021,0.04720052,1.9054876075999994e-06,0.0008555770680281325
1600,0.03212843,1.642291521000001e-07,0.0002511777678671742,0.04713561,2.0096051949e-06,0.0008786409572019643
1650,0.03196311,1.6777215289999966e-07,0.000253872704830716,0.04706231,2.218357730899999e-06,0.0009231491244119465
1700,0.0318148,1.745586639999995e-07,0.00025895647580672667,0.04706231,2.218357730899999e-06,0.0009231491244119465
1750,0.03164106,1.762573664000005e-07,0.0002602134313908953,0.04706231,2.218357730899999e-06,0.0009231491244119465
1800,0.03148089,1.7366225489999956e-07,0.0002582907118778835,0.04706231,2.218357730899999e-06,0.0009231491244119465
1850,0.03133661,1.7052754490000053e-07,0.0002559489434414297,0.047004279999999996,2.3912923536000013e-06,0.0009584565042603532
