Problem,CCHIHH-full (Mean+-Std),CGA (Mean+-Std),IMOMA (Mean+-Std),DSAC-DE (Mean+-Std)
T100,0.484452 +- 0.000255,0.486859 +- 0.000227,0.491712 +- 0.000293,0.486480 +- 0.001132
T200,0.037180 +- 0.000155,0.041328 +- 0.000640,0.046267 +- 0.001661,0.051296 +- 0.001453
T500,0.021441 +- 0.001158,0.027925 +- 0.000678,0.031296 +- 0.001093,0.034004 +- 0.001341
