gen,migration_true mean,migration_true var,migration_false mean,migration_false var
50,0.3790931,7.578122900000046e-07,0.38064749999999997,1.9982470499999873e-06
100,0.3720408,1.0811355600000012e-06,0.3765934,1.8316930400000162e-06
150,0.3662324,6.473916400000139e-07,0.37475939999999996,2.0244436400000084e-06
200,0.36261329999999997,5.324316099999934e-07,0.37414040000000004,2.0838268399999994e-06
250,0.3604811,8.054466900000105e-07,0.3735194,2.372131039999999e-06
300,0.3590311,7.993192900000049e-07,0.3719978,2.698469159999999e-06
350,0.35797310000000004,5.076078899999986e-07,0.3709258,2.0267031600000085e-06
400,0.3569559,6.323494900000035e-07,0.36927750000000004,1.9711032500000256e-06
450,0.3561105,7.834638499999995e-07,0.3684341,2.249909490000021e-06
500,0.3552281,6.858166899999904e-07,0.3674271,2.0430668899999906e-06
550,0.3543784,6.176646400000001e-07,0.36638350000000003,1.576920249999995e-06
600,0.35377200000000003,6.916287999999968e-07,0.3658445,1.4671972500000081e-06
650,0.353145,6.216430000000102e-07,0.36525810000000003,1.5602456900000115e-06
700,0.35246900000000003,6.113990000000077e-07,0.364811,1.3423450000000119e-06
750,0.3520114,4.804270399999938e-07,0.3643289,1.2632660900000013e-06
800,0.3516376,5.569380400000003e-07,0.3639225,1.2679136499999978e-06
850,0.3511149,9.262774900000228e-07,0.3635794,1.5244292399999796e-06
900,0.35073889999999996,1.0266842900000066e-06,0.363128,1.145952999999991e-06
950,0.35031219999999996,9.960919599999938e-07,0.3626808,1.4711881600000013e-06
1000,0.3498833,1.2407640100000033e-06,0.3622887,1.5588858100000002e-06
1050,0.3496464,1.2639290399999866e-06,0.3617556,1.702419440000007e-06
1100,0.3493215,1.1387444499999732e-06,0.36123289999999997,1.234911289999995e-06
1150,0.34910929999999996,8.921698099999989e-07,0.36101,1.0008693999999892e-06
1200,0.3488294,8.587440400000075e-07,0.36089160000000003,8.934922399999961e-07
1250,0.3485598,6.846549600000035e-07,0.3605792,1.327736559999988e-06
1300,0.34834740000000003,5.869806400000052e-07,0.36032790000000003,1.412803090000007e-06
1350,0.3481675,6.319600499999995e-07,0.36000930000000003,1.360105210000011e-06
1400,0.3479285,5.412292499999972e-07,0.3596968,1.1535581600000192e-06
1450,0.34771,5.736908000000093e-07,0.3594905,9.806932500000265e-07
1500,0.3474897,5.655096099999984e-07,0.35930439999999997,1.2024178400000094e-06
1550,0.3473199,6.016878900000136e-07,0.3591127,1.0353316099999862e-06
1600,0.34721989999999997,5.233778900000042e-07,0.3587574,9.026816400000157e-07
1650,0.3470545,5.660684499999939e-07,0.3585838,1.0723001600000068e-06
1700,0.346983,5.738261999999973e-07,0.3584348,9.891843600000087e-07
1750,0.3468339,5.270116900000075e-07,0.3582774,9.417286400000082e-07
1800,0.34665840000000003,4.574410399999973e-07,0.3581244,1.1003928400000182e-06
1850,0.34650919999999996,5.453343599999932e-07,0.3579466,1.251052240000015e-06
1900,0.3463379,4.741632900000061e-07,0.35785469999999997,1.4622374100000111e-06
1950,0.3462152,4.3478655999999736e-07,0.3576975,1.4053286500000138e-06
2000,0.346107,5.022586000000044e-07,0.3574135,1.3333520499999932e-06
2050,0.3459355,5.198022500000034e-07,0.3572297,1.0862676100000014e-06
2100,0.34584760000000003,5.194626400000064e-07,0.3571051,1.0290350899999895e-06
2150,0.3456432,5.223043600000144e-07,0.35690900000000003,1.1510435999999994e-06
2200,0.34553090000000003,5.65243690000005e-07,0.3568764,1.195258040000011e-06
2250,0.3454165,5.502452499999987e-07,0.3568111,1.2382064900000122e-06
2300,0.3453041,4.626570900000014e-07,0.35675599999999996,1.3108880000000096e-06
2350,0.34525510000000004,4.2864189000000877e-07,0.356662,1.3376026000000172e-06
2400,0.3452102,3.7564996000000404e-07,0.3565659,1.384438689999983e-06
2450,0.3451019,3.5246728999999857e-07,0.35644339999999997,1.6253020399999948e-06
2500,0.345055,3.026398000000011e-07,0.3562595,1.6314460500000044e-06
2550,0.345004,3.565433999999979e-07,0.3561677,1.673084209999988e-06
2600,0.344959,3.5844659999999554e-07,0.3560349,1.712598089999981e-06
2650,0.3448875,3.4414004999999193e-07,0.3558143,1.4449882099999798e-06
2700,0.3447731,4.025088899999984e-07,0.35574479999999997,1.3864741599999831e-06
2750,0.34472420000000004,5.052821600000045e-07,0.3556306,1.3539820399999843e-06
2800,0.3446997,4.812738100000001e-07,0.3554611,1.3138664899999797e-06
2850,0.34460379999999996,4.5827176000000007e-07,0.3553813,1.3328518099999999e-06
2900,0.3445017,5.148822100000038e-07,0.3551423,1.0445306099999873e-06
