generation,block_id,reward_mean,reward_variance,reward_min,reward_max
1,0,0.03831212282790616,0.00287830905810995,-0.003937507504499046,0.1306509334840782
1,1,0.2,7.703719777548943e-34,0.2,0.2
1,2,0.2,7.703719777548943e-34,0.2,0.2
2,0,0.1958807905637988,7.872156434097386e-05,0.1729746258253189,0.2
2,1,0.01229563003539112,0.0002564322933242001,-7.865200000002626e-06,0.03749017564109097
2,2,0.0004626540078297699,6.329450327296279e-06,-0.001132845788470749,0.006994604195760029
3,0,0.008459835782826046,0.0002562641600128148,-0.001699993830837222,0.04701768058522544
3,1,0.002012046480180578,1.471887599392847e-05,-1.344639999999175e-06,0.01126699116560498
3,2,0.01363933470144026,0.0004085310155762178,-0.001723973523054573,0.04785263806863604
4,0,0.01482286643176429,0.0003996847351497991,-0.0007932057706740124,0.04467277231121483
4,1,0.009633257320877638,0.0004252061089750592,-5.220447999999823e-06,0.06276434753034678
4,2,0.007720945058094095,0.0002169530742264938,-0.0009924880128038543,0.04434714371986608
5,0,0.0167869102068984,0.001111214503870519,-0.0004250477199972666,0.1020542618009991
5,1,0.007098865226977212,6.823599974199888e-05,-1.038870399999864e-05,0.02380865974810902
5,2,0.004042902664274195,6.717073513599161e-05,-0.0007211470618788852,0.02396166143556525
6,0,-4.47334939353045e-05,5.854969011021934e-07,-0.0006987120106631946,0.001836341899582255
6,1,0.001791907577486029,9.673517983065061e-06,-2.239760000022351e-07,0.007636703427994885
6,2,0.0117242467176837,0.0004347656065683829,-0.0008754314226019259,0.05016989437687049
7,0,-0.0001781550351500771,1.796518671718079e-07,-0.001009717002711012,0.000353181313292611
7,1,0.001186200365827858,4.244628330824611e-06,-3.711695999998599e-06,0.005050702193896739
7,2,0.0024272602407916,2.343287329230938e-05,-0.0004126017269013835,0.01442925244274139
8,0,0.005637369255463925,0.0001603261232897022,-0.0005527794975370052,0.03836826130666797
8,1,0.0005028154895317238,1.76976391559119e-06,0,0.004022523916253791
8,2,0,0,0,0
9,0,0.005883516425720236,0.0002051347197603883,-0.0009537935556187288,0.04328905149461428
9,1,0,0,0,0
9,2,-5.042706095757946e-05,8.598345800711325e-09,-0.0002639876263016629,0
10,0,-9.456166277053166e-05,1.980418518111125e-08,-0.0004162733366151015,2.965907564054585e-05
10,1,0.0008713191818946311,5.314379817162704e-06,0,0.006970553455157049
10,2,-3.98444632641653e-05,1.111306876966593e-08,-0.0003187557061133224,0
11,0,0.00173346397408099,1.14382465440459e-05,-0.00112015848583295,0.008030630749952783
11,1,0.004204263319307318,8.894493078708931e-05,0,0.02880351981238129
11,2,-3.452199066268091e-05,8.3423748751996e-09,-0.0002761759253014473,0
12,0,0.003218983661311568,4.97153800764172e-05,-0.0007010609444077693,0.02139037394722207
12,1,-1.471601999999961e-06,8.091551691612488e-12,-8.412048000000505e-06,0
12,2,-2.080353177648766e-05,3.268757221572545e-09,-0.0001719924221660958,5.564167954194566e-06
13,0,-9.167556845717504e-05,4.391541950749034e-08,-0.0006003581279624512,0.000100731868386544
13,1,0.0008133081043710892,4.630290508449862e-06,0,0.006506464834968714
13,2,0,0,0,0
14,0,0.005501793318632589,0.0001185538745586672,-0.0005437166119434824,0.03167499333337291
14,1,0.004330911493097337,5.854224550150029e-05,-1.423583999998757e-06,0.02033480399183112
14,2,-3.154147652941267e-05,6.053210476695273e-09,-0.0002369560907321516,0
15,0,0.001721928167475485,2.464998349270616e-05,-0.0004930245169040406,0.01484859367439598
15,1,0.0009375569705205946,3.292297004031207e-06,-4.920080000012095e-07,0.005383034796591689
15,2,0,0,0,0
16,0,-1.174683344388958e-05,2.013937597219178e-08,-0.0001637214166924098,0.0003191769142249626
16,1,0.0001068981004092324,7.864386498617248e-08,0,0.0008488503552738569
16,2,-6.399256577206365e-05,1.34558977586352e-07,-0.0009864803556665525,0.0003456550878115525
17,0,0.001666483496454469,2.302097651475191e-05,-0.0003928930617688641,0.01435372644298907
17,1,0.001025892098865929,7.411450002508123e-06,-2.546371416840554e-05,0.008228643433095838
17,2,0,0,0,0
18,0,-9.632116362895641e-05,9.46308600903816e-08,-0.0008502332472931255,0.0002870594222428136
18,1,0.00023707174810451,3.053235927173194e-07,-4.012240000003664e-07,0.001689101064351115
18,2,0,0,0,0
19,0,-0.0001762961378350975,8.872004321884029e-08,-0.0008490664658847256,0.0001078011314519525
19,1,0.0003347610961669525,3.426985291085215e-07,-5.453759999995977e-07,0.001498325602642534
19,2,0,0,0,0
20,0,0.0005215303105716724,1.760879547539562e-06,0,0.004030238474353323
20,1,-0.000493610440951089,1.829545920928558e-06,-0.004070553442314813,0.0001270160507061016
20,2,-6.393681242130648e-05,2.861541187818131e-08,-0.0005114944993704518,0
21,0,0.0006766132529345055,3.312134709975226e-06,-7.321164729160862e-05,0.005491278089566524
21,1,5.322515383930077e-05,1.891131172440217e-08,0,0.0004170011427144039
21,2,-4.226962512319192e-05,1.250704845638624e-08,-0.0003381570009855353,0
22,0,0.0004394922348414431,1.875791242274358e-06,-0.0002532806848003742,0.004052596556704546
22,1,0.001088360772575302,3.843127352358276e-06,0,0.006031660518877126
22,2,0.005544962239393845,9.280858455818648e-05,0,0.02368818028626372
23,0,0.0001148734622657933,1.230663473148864e-07,-0.0002801300864603347,0.0009821052824123865
23,1,0.002857612240598915,5.292402810093664e-05,-1.628032000000057e-05,0.0220936697853447
23,2,0.0007374937445414826,3.764192149428014e-06,0,0.00587060186575424
24,0,-0.0001375458197877768,1.198917103361195e-07,-0.001050821163191889,2.538711164211394e-05
24,1,6.665578483875863e-05,3.296775966459838e-08,-8.074111999999828e-06,0.0005469585655390114
24,2,2.820026828217418e-05,5.566785918306193e-09,0,0.0002256021462573934
25,0,1.254095966284735e-05,4.861311008265594e-08,-0.0004383768694279703,0.0004319676355420615
25,1,0.0003089112406872983,1.577484237777456e-07,-8.036856000001591e-06,0.000901026661218284
25,2,-4.494038167536623e-05,1.413746533589315e-08,-0.0003595230534029298,0
26,0,0.004196931867336193,3.636661556519484e-05,0,0.01488476537896633
26,1,0.002675710255368256,4.72668516147908e-06,-6.545910934659117e-06,0.005612111707868761
26,2,0.00708944562034472,0.0001618809500206393,-0.0003671624126940873,0.03558886039040911
27,0,0.002972282884371633,6.184125881309989e-05,0,0.02377826307497307
27,1,0.002356346843671825,3.892781930716016e-05,-1.298281600000048e-05,0.0188637575653746
27,2,0.004289686985736568,0.0001345593471076879,-0.0006507829499428873,0.034975170289529
