gen,op_id,w0,w1,w2,w3,w4,w5,w6,norm
50,0,1.272320307034604e-06,3.832064152708474e-06,7.068900897838656e-08,-4.549461977192478e-05,6.061498063053587e-05,-3.402451877762044e-05,-6.797423977282305e-05,0.0001074169910551598
50,1,2.386887189750018e-07,4.448130287573264e-07,8.504805805771637e-07,-3.734077708715411e-05,0.0001055718631043101,0.0002126926037189159,0.0004266282390276875,0.0004896841104973065
50,2,6.955465983390073e-10,6.249115027952438e-09,-7.285469873612724e-10,9.144978885812363e-08,-2.964847763723022e-07,1.061389631091013e-06,2.125714113399582e-06,2.396145820562854e-06
50,3,0,0,0,0,0,0,0,0
100,0,1.341163894451974e-06,3.838797596563178e-06,7.363498207299226e-08,-4.549460459681462e-05,6.47465581749091e-05,-2.907510990496978e-05,-5.808001247326678e-05,0.0001024551912666607
100,1,-5.527473819528779e-07,3.106447647738382e-07,7.847385411349674e-07,-3.7341206929561e-05,4.170666282488651e-05,0.0001490379906137279,0.0002992925349810157,0.0003390032056557892
100,2,4.552550103669009e-10,6.209069124361942e-09,-7.453867596163565e-10,9.144967530605202e-08,-3.130956594653533e-07,1.042315461005912e-06,2.08756831726725e-06,2.356012362021377e-06
100,3,0,0,0,0,0,0,0,0
150,0,1.344695773596244e-06,3.839055897804522e-06,7.371988315548326e-08,-4.549459188808963e-05,6.486669537677169e-05,-2.89064944693412e-05,-5.774278162105284e-05,0.0001022927773771958
150,1,-6.040374845246022e-07,2.940215988144997e-07,7.831393779489059e-07,-3.734160430707589e-05,4.067115683405315e-05,0.0001471951530001417,0.0002956101750167411,0.0003348154591231987
150,2,4.183050072378713e-10,6.207721664343603e-09,-7.463736855571582e-10,9.144942641962831e-08,-3.144460371080728e-07,1.040739963449763e-06,2.084418357848951e-06,2.352704430600156e-06
150,3,0,0,0,0,0,0,0,0
200,0,1.345101049958955e-06,3.839079389389116e-06,7.372572436046382e-08,-4.549458735279409e-05,6.487460114979741e-05,-2.889470143967413e-05,-5.771919606364155e-05,0.0001022811516416508
200,1,-6.09285029307824e-07,2.932646101140511e-07,7.829300997178314e-07,-3.734162900665178e-05,4.061544455183285e-05,0.0001470563522458679,0.000295333148937672,0.0003345030962520898
200,2,4.178762692124591e-10,6.207712033633518e-09,-7.463824544013307e-10,9.144942229688131e-08,-3.144556716704416e-07,1.040727920254752e-06,2.084394271443029e-06,2.352679050891234e-06
200,3,0,0,0,0,0,0,0,0
250,0,1.345157403626641e-06,3.839080394578748e-06,7.372604408342059e-08,-4.549458684110909e-05,6.487551608456677e-05,-2.889331283216712e-05,-5.771641905586436e-05,0.000102279773153727
250,1,-6.116961583808235e-07,2.932221411573028e-07,7.829100510983647e-07,-3.734165256222304e-05,4.05651570660767e-05,0.0001470006732965915,0.0002952218090986858,0.0003343742194018368
250,2,4.17711260177346e-10,6.207704948649053e-09,-7.463836292453126e-10,9.14494211268648e-08,-3.144581991306288e-07,1.040724335292884e-06,2.084387103670735e-06,2.352671452374206e-06
250,3,0,0,0,0,0,0,0,0
300,0,1.345157681043674e-06,3.839080402616606e-06,7.372604471402487e-08,-4.54945868378381e-05,6.487551809483513e-05,-2.889330780649623e-05,-5.771640900452259e-05,0.0001022797673396427
300,1,-6.119768017771309e-07,2.932168237890017e-07,7.829083218522725e-07,-3.734165440640428e-05,4.056105481957668e-05,0.0001469954501120224,0.0002952113650361246,0.0003343622050399301
300,2,4.176895856159729e-10,6.207704785820825e-09,-7.463838062030916e-10,9.144942099234272e-08,-3.144585712667935e-07,1.04072392241039e-06,2.084386277951726e-06,2.352670587903413e-06
300,3,0,0,0,0,0,0,0,0
350,0,1.345157707960716e-06,3.839080403738034e-06,7.372604474075373e-08,-4.549458683780334e-05,6.487551821075347e-05,-2.889330739345381e-05,-5.771640817843775e-05,0.000102279766830709
350,1,-6.120118862562862e-07,2.932153607127279e-07,7.829082053799774e-07,-3.734165457518962e-05,4.056086577201652e-05,0.0001469948981571567,0.0002952102613067073,0.0003343609650402545
350,2,4.176893550586187e-10,6.207704785820825e-09,-7.463838071512851e-10,9.144942099171011e-08,-3.144585732486619e-07,1.040723919106899e-06,2.084386271345498e-06,2.352670580854023e-06
350,3,0,0,0,0,0,0,0,0
