gen,op_id,w0,w1,w2,w3,w4,w5,w6,norm
50,0,-2.982938476421578e-07,3.554117755645521e-07,5.484038650247569e-07,3.09214382250446e-05,-5.520545057158637e-05,0.0002360678145367537,0.0004735106852698728,0.00053286459376015
50,1,-8.529131377125012e-07,-3.7405367356965e-09,1.320190212125848e-06,2.611407788330224e-05,0.0003247368361895994,7.774194543292178e-05,0.000160949696031269,0.0003716006498263794
50,2,0,0,0,0,0,0,0,0
50,3,0,0,0,0,0,0,0,0
100,0,-9.378672365330788e-07,3.451735312851425e-07,4.948428590072606e-07,3.091896068970423e-05,-0.0001101294090175276,0.0001871187346120397,0.0003756318777756985,0.000434969471243632
100,1,-8.925035962542559e-07,4.404569107002796e-09,1.317102811661285e-06,2.611405978100154e-05,0.0003210300337413659,7.570758005136561e-05,0.0001568851939941336,0.0003661821401924528
100,2,0,0,0,0,0,0,0,0
100,3,0,0,0,0,0,0,0,0
150,0,-1.040054409271386e-06,3.406907128808072e-07,4.929918218502832e-07,3.09187863857717e-05,-0.0001135536044698999,0.0001826248385548562,0.0003666463252963272,0.0004261844586261158
150,1,-9.08916463223289e-07,3.958381300941183e-09,1.316697759058323e-06,2.61140403866142e-05,0.0003200691965943021,7.498535432539185e-05,0.0001554408102595374,0.0003645729589657966
150,2,0,0,0,0,0,0,0,0
150,3,0,0,0,0,0,0,0,0
200,0,-1.053028011863035e-06,3.405377221198118e-07,4.927314286409476e-07,3.091876491520165e-05,-0.0001139741217063069,0.0001822560987347625,0.0003659087880391974,0.0004255044826451656
200,1,-9.090499069810177e-07,3.960098297790132e-09,1.316693498160608e-06,2.611404081626925e-05,0.0003200660652614295,7.498076764861876e-05,0.000155431654351883,0.0003645653631663473
200,2,0,0,0,0,0,0,0,0
200,3,0,0,0,0,0,0,0,0
250,0,-1.056669987686224e-06,3.403759456349604e-07,4.927133337156014e-07,3.091875966809802e-05,-0.0001140099032819061,0.0001821718713683405,0.0003657403543464251,0.0004253331640428847
250,1,-9.090505436855977e-07,3.961371237005318e-09,1.316693508379626e-06,2.611404079431969e-05,0.000320066019466585,7.498076578531563e-05,0.0001554316508507158,0.0003645653210854008
250,2,0,0,0,0,0,0,0,0
250,3,0,0,0,0,0,0,0,0
300,0,-1.05691370180242e-06,3.403667393238191e-07,4.927112484402513e-07,3.091875948080997e-05,-0.0001140124700379338,0.0001821673827539981,0.0003657313776087426,0.0004253242111607072
300,1,-9.090555459141266e-07,3.961245207796469e-09,1.316693471968982e-06,2.611404079094154e-05,0.0003200659632319083,7.498066832680886e-05,0.0001554314559923228,0.0003645651686050173
300,2,0,0,0,0,0,0,0,0
300,3,0,0,0,0,0,0,0,0
350,0,-1.056954033642339e-06,3.403645136267601e-07,4.927110635177187e-07,3.09187594474913e-05,-0.000114012747749435,0.0001821667505533627,0.0003657301134351126,0.0004253229278790447
350,1,-9.090558273242252e-07,3.961218267277625e-09,1.316693471226701e-06,2.611404079078423e-05,0.0003200659625125185,7.498066395023589e-05,0.0001554314472391769,0.0003645651633421061
350,2,0,0,0,0,0,0,0,0
350,3,0,0,0,0,0,0,0,0
400,0,-1.056960467788916e-06,3.403618900819252e-07,4.927110635177187e-07,3.091875944303172e-05,-0.000114012747749435,0.0001821666624741247,0.0003657299372766366,0.0004253227386915087
400,1,-9.090558273242252e-07,3.961218267277625e-09,1.316693471226701e-06,2.611404079078423e-05,0.0003200659625125185,7.498066395023589e-05,0.0001554314472391769,0.0003645651633421061
400,2,0,0,0,0,0,0,0,0
400,3,0,0,0,0,0,0,0,0
450,0,-1.056961127134512e-06,3.403613350645566e-07,4.927110635177187e-07,3.091875944261511e-05,-0.000114012747749435,0.0001821666545391287,0.0003657299214066446,0.0004253227216476802
450,1,-9.090558286010429e-07,3.961217171031663e-09,1.316693471226701e-06,2.611404079078328e-05,0.0003200659625125185,7.498066393495164e-05,0.0001554314472086084,0.0003645651633259329
450,2,0,0,0,0,0,0,0,0
450,3,0,0,0,0,0,0,0,0
500,0,-1.056961191699444e-06,3.403612666272218e-07,4.927110635084439e-07,3.091875944258018e-05,-0.000114012747770436,0.0001821666538442343,0.0003657299200168748,0.0004253227201607417
500,1,-9.090558286230495e-07,3.961217170855328e-09,1.316693471226643e-06,2.611404079078327e-05,0.0003200659625124744,7.498066393473113e-05,0.0001554314472081674,0.0003645651633256608
500,2,0,0,0,0,0,0,0,0
500,3,0,0,0,0,0,0,0,0
550,0,-1.056961198433117e-06,3.40361265723051e-07,4.927110635024263e-07,3.09187594425774e-05,-0.0001140127477750277,0.0001821666537789139,0.0003657299198862341,0.0004253227200216751
550,1,-9.090558286345157e-07,3.961217169776584e-09,1.316693471226643e-06,2.611404079078327e-05,0.0003200659625124744,7.498066393461871e-05,0.0001554314472079425,0.0003645651633255419
550,2,0,0,0,0,0,0,0,0
550,3,0,0,0,0,0,0,0,0
600,0,-1.056961199105223e-06,3.403612654040043e-07,4.927110635024263e-07,3.091875944257736e-05,-0.0001140127477750277,0.0001821666537729686,0.0003657299198743435,0.0004253227200089055
600,1,-9.090558286362731e-07,3.961217168818258e-09,1.316693471226643e-06,2.611404079078327e-05,0.0003200659625124744,7.498066393460348e-05,0.0001554314472079121,0.0003645651633255258
600,2,0,0,0,0,0,0,0,0
600,3,0,0,0,0,0,0,0,0
650,0,-1.056961199170503e-06,3.403612653543104e-07,4.927110635024263e-07,3.091875944257736e-05,-0.0001140127477750277,0.0001821666537724382,0.0003657299198732827,0.0004253227200077664
650,1,-9.090558286364794e-07,3.961217168657753e-09,1.316693471226643e-06,2.611404079078327e-05,0.0003200659625124744,7.498066393460181e-05,0.0001554314472079087,0.000364565163325524
650,2,0,0,0,0,0,0,0,0
650,3,0,0,0,0,0,0,0,0
700,0,-1.056961199176883e-06,3.403612653478962e-07,4.927110635024263e-07,3.091875944257736e-05,-0.0001140127477750277,0.0001821666537723904,0.000365729919873187,0.0004253227200076636
700,1,-9.090558286365236e-07,3.961217168614686e-09,1.316693471226643e-06,2.611404079078327e-05,0.0003200659625124744,7.498066393460147e-05,0.0001554314472079081,0.0003645651633255236
700,2,0,0,0,0,0,0,0,0
700,3,0,0,0,0,0,0,0,0
750,0,-1.056961199177516e-06,3.403612653471279e-07,4.927110635024263e-07,3.091875944257736e-05,-0.0001140127477750277,0.000182166653772387,0.0003657299198731803,0.0004253227200076563
750,1,-9.090558286365236e-07,3.961217168614686e-09,1.316693471226643e-06,2.611404079078327e-05,0.0003200659625124744,7.498066393460147e-05,0.0001554314472079081,0.0003645651633255236
750,2,0,0,0,0,0,0,0,0
750,3,0,0,0,0,0,0,0,0
800,0,-1.056961199177565e-06,3.403612653471017e-07,4.927110635024263e-07,3.091875944257736e-05,-0.0001140127477750277,0.000182166653772387,0.0003657299198731803,0.0004253227200076563
800,1,-9.090558286365239e-07,3.961217168614683e-09,1.316693471226643e-06,2.611404079078327e-05,0.0003200659625124744,7.498066393460147e-05,0.0001554314472079081,0.0003645651633255236
800,2,0,0,0,0,0,0,0,0
800,3,0,0,0,0,0,0,0,0
