Command: 'C:\Users\Hu\Desktop\CED_schedule_Final_Branch2_åˆ†å—+HIHH_CLEAN\build\Release\CED_Schedule.exe' --solver GDE --seed 7 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\CED_schedule_Final_Branch2_åˆ†å—+HIHH_CLEAN\data' --data_file data_matrix_T500_E200_D800.txt --cnum 200 --enum 200 --dnum 800 --tnum 500 --mopt 5
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final_Branch2_·Ö¿é+HIHH_CLEAN\\data"
Data file: data_matrix_T500_E200_D800.txt
Generations: 10000
Population size: 40
Random seed: 7
Pini (heuristic prob): 0.4
Solver: GDE
Cnum/Enum/Dnum/Tnum/Mopt: 200/200/800/500/5
Migration: disabled
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final_Branch2_·Ö¿é+HIHH_CLEAN\\data\\data_matrix_T500_E200_D800.txt"
Gen 7600: best_fit = 1323.59
Gen 7650: best_fit = 1323.37
Gen 7700: best_fit = 1320.06
Gen 7750: best_fit = 1319.89
Gen 7800: best_fit = 1319.85
Gen 7850: best_fit = 1319.6
Gen 7900: best_fit = 1319.34
Gen 7950: best_fit = 1319.11
Gen 8000: best_fit = 1319.08
Gen 8050: best_fit = 1318.86
Gen 8100: best_fit = 1318.85
Gen 8150: best_fit = 1318.79
Gen 8200: best_fit = 1318.73
Gen 8250: best_fit = 1318.7
Gen 8300: best_fit = 1318.65
Gen 8350: best_fit = 1318.2
Gen 8400: best_fit = 1316.91
Gen 8450: best_fit = 1313.93
Gen 8500: best_fit = 1313.52
Gen 8550: best_fit = 1313.02
Gen 8600: best_fit = 1312.74
Gen 8650: best_fit = 1312.35
Gen 8700: best_fit = 1310.97
Gen 8750: best_fit = 1310.95
Gen 8800: best_fit = 1310.93
Gen 8850: best_fit = 1310.77
Gen 8900: best_fit = 1310.73
Gen 8950: best_fit = 1310.73
Gen 9000: best_fit = 1310.71
Gen 9050: best_fit = 1310.58
Gen 9100: best_fit = 1310.55
Gen 9150: best_fit = 1310.24
Gen 9200: best_fit = 1310.19
Gen 9250: best_fit = 1308.54
Gen 9300: best_fit = 1307.96
Gen 9350: best_fit = 1307.94
Gen 9400: best_fit = 1307.3
Gen 9450: best_fit = 1306.61
Gen 9500: best_fit = 1306.21
Gen 9550: best_fit = 1306.19
Gen 9600: best_fit = 1306.14
Gen 9650: best_fit = 1306.1
Gen 9700: best_fit = 1306.08
Gen 9750: best_fit = 1306.06
Gen 9800: best_fit = 1306.04
Gen 9850: best_fit = 1306.03
Gen 9900: best_fit = 1305.98
Gen 9950: best_fit = 1305.97
Gen 10000: best_fit = 1305.81

=== Final Results ===
Solver: GDE
Generation = 10000
The best solution = 1305.81
Time = 1610.47 s

exit code 0
